# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ulaF//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	bcsB//
yfdX_frc_oxc_yfdVE	argA//cysC//wecC//
yfeCD	
yfeKS	
yfeYX	hflX//
yffB_dapE_ypfN	gcvT//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	yghA//
yfiP_patZ	folP//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rlmE//
ygaXY	
ygaZH	dmsA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	betA//phnG//gabT//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ada//
yggX_mltC	ubiH//
yggX_mltC_nupG	menI//pbpC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	serB//maa//
ygiM_cca	surA//
ygjJK	metA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rhaM//yohF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	cpdB//yccX//wbbI//pfkB//psuK//ppc//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	tyrA//
yicJI	glgB//
yicR_rpmBG	
yicR_rpmBG_mutM	kdsC//
yidHGF	
yidKJ	
yieEF	icd//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	fsaA//kdgK//
yifNO	
yigGF	
yihLM	
yihPO	garL//
yihUTS	tnaA//maa//dgkA//
yihVW	yfiH//
yihXY_dtd_yiiD	fumA//gabT//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ribE//arnA//hcaF//rluE//yjiA//speD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	cyoE//thiK//
yjiHG_iadA	ubiG//
yjiML	
yjiPQ	
yjiXA	rhaB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	rhaD//pdxJ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	yliI//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	rfbA//
ynfB_speG	roxA//
ynfEFGH_dmsD	ychF//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	purH//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ulaE//
yqaE_kbp	
yqcC_truC_yqcA	cdd//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	murI//lysU//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	cysJ//
yrbG_kdsDC_lptCAB	epd//mdh//rffM//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	leuA//queF//
yrfG_hslR	treC//
ytfQRT_yjfF	glxK//
ytjB_lplA	rsmI//
znuCB	ubiF//
zraSR	
