# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	deoB//
yfdX_frc_oxc_yfdVE	gshB//ubiF//cfa//
yfeCD	
yfeKS	
yfeYX	pgpA//
yffB_dapE_ypfN	glgX//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	paaH//
yfiP_patZ	sdaA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	lpxK//
ygaXY	
ygaZH	selA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pheA//fadH//ynfH//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ftsI//
yggX_mltC	fsaA//
yggX_mltC_nupG	insI-1//sgbU//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	glf//pabC//
ygiM_cca	panD//
ygjJK	murE//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	thiF//allD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	hemD//ttdB//thiG//purF//accD//dhaL//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	dfp//
yicJI	bioH//
yicR_rpmBG	
yicR_rpmBG_mutM	ispF//
yidHGF	
yidKJ	
yieEF	galE//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	bioC//gutQ//
yifNO	
yigGF	
yihLM	
yihPO	mhpD//
yihUTS	ligB//ilvI//ghrA//
yihVW	ynfG//
yihXY_dtd_yiiD	waaA//coaE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	trmO//hycF//nadR//dapE//tyrB//mpaA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	qor//patZ//
yjiHG_iadA	malQ//
yjiML	
yjiPQ	
yjiXA	ulaE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yciA//acs//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	hyi//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	treA//
ynfB_speG	ispD//
ynfEFGH_dmsD	eptA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	lpxL//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	cpsG//
yqaE_kbp	
yqcC_truC_yqcA	dapE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	atoD//astC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	dnaE//
yrbG_kdsDC_lptCAB	polB//nemA//tdk//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ilvG_2//pgk//
yrfG_hslR	dgoA//
ytfQRT_yjfF	glmS//
ytjB_lplA	yghA//
znuCB	eutB//
zraSR	
