# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yagE//
yfeCD	
yfeKS	
yfeYX	hchA//
yffB_dapE_ypfN	mltF//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	dadA//
yfiP_patZ	ppiA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	gstA//
ygaXY	
ygaZH	gmm//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	paaZ//ligA//coaE//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	lpxB//
yggX_mltC	ubiI//
yggX_mltC_nupG	leuD//kbl//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	eptC//atoB//
ygiM_cca	yfeW//
ygjJK	hcaF//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	prpE//thiF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	pgpA//mrcB//lgoD//manA//yccX//carB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ygeX//
yicJI	tsaB//
yicR_rpmBG	
yicR_rpmBG_mutM	nth//
yidHGF	
yidKJ	
yieEF	rne//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	rsmF//panE//
yifNO	
yigGF	
yihLM	
yihPO	hyaC//
yihUTS	mltB//rlmA//pgaD//
yihVW	sthA//
yihXY_dtd_yiiD	xapA//phnG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yghA//lpxH//ynfH//eutB//rsmG//adk//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	aroG//selB//
yjiHG_iadA	coaD//
yjiML	
yjiPQ	
yjiXA	araB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	codA//yjjX//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	nrfC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	dnaE//
ynfB_speG	torC//
ynfEFGH_dmsD	sodB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	etk//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	paoA//
yqaE_kbp	
yqcC_truC_yqcA	fabH//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ybbO//ydjG//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	phnL//
yrbG_kdsDC_lptCAB	ydfG//fsaB//gdhA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gltA//tktB//
yrfG_hslR	yihX//
ytfQRT_yjfF	gltB//
ytjB_lplA	wbbI//
znuCB	dusA//
zraSR	
