# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gadB//
yfdX_frc_oxc_yfdVE	glyA//ackA//metL//
yfeCD	
yfeKS	
yfeYX	lpxL//
yffB_dapE_ypfN	allA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	cysI//
yfiP_patZ	citX//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	sdhA//
ygaXY	
ygaZH	hypF//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	glxK//guaA//hemB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	fucA//
yggX_mltC	ascB//
yggX_mltC_nupG	glnA//thyA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	glmU//nadE//
ygiM_cca	cueO//
ygjJK	lysC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	pgpC//ybdL//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	mhpD//dapB//pdeF//hemC//rutD//allC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	mazG//
yicJI	wbbI//
yicR_rpmBG	
yicR_rpmBG_mutM	thyA//
yidHGF	
yidKJ	
yieEF	uvrB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	panC//galT//
yifNO	
yigGF	
yihLM	
yihPO	dam//
yihUTS	yliI//speC//entA//
yihVW	alr//
yihXY_dtd_yiiD	ghrB//hchA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	folX//mutT//pdeH//gpmM//hisA//yggF//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mutM//fadH//
yjiHG_iadA	ilvM//
yjiML	
yjiPQ	
yjiXA	folD//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dapD//mnmA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rhaD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	cysN//
ynfB_speG	sthA//
ynfEFGH_dmsD	glxR//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	aroG//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rlmD//
yqaE_kbp	
yqcC_truC_yqcA	tesB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rbn//amiD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	patZ//
yrbG_kdsDC_lptCAB	fbaB//ispD//malQ//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	sthA//manA//
yrfG_hslR	phnI//
ytfQRT_yjfF	ssuE//
ytjB_lplA	glk//
znuCB	yfiH//
zraSR	
