#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	cpxQ//
livKHMGF	b2682//b4487//b2875//b0181//b2420//
lldPRD	b3060//b2916//b4162//
loiP	b0293//
lolA-rarA	b0521//b3181//
lolB-ispE-prs	b0324//b0593//b2179//
lolCDE	b3428//b3491//b1350//
lomR_2-stfR-tfaR	b3163//insAB-2//b2158//
lon	b0647//
lpcA	b1019//
lpd	b0430//
lpoA	b2435//
lpp	b1262//
lptAB	ybfG//b3959//
lptB-rpoN-hpf-ptsN-rapZ	b2223//b1710//b3481//b2902//b4280//
lptD	b2347//
lptD-surA-pdxA	ybfG//b2291//b0840//
lptFG	b0129//b0275//
lpxC	b2120//
lpxD	b1138//
lpxL	b1328//
lpxM	b0511//
lpxP	b2923//
lrhA	b0452//
lrp	b1780//
lspA-fkpB-ispH	b3942//b2511//b2420//
lsrACDBFG-tam	b2044//b0348//b3294//b2537//b1211//b3915//b4403//
lsrK	b2345//
lsrRK	b1284//rhsE//
ltaE-ybjT	b3719//b1302//
luxS	b3242//
lysA	b2384//
lysC	b4461//
lysO	b2532//
lysP	b0733//
lysQ	b2753//
lysR	b0570//
lysT-valT-lysW	b3183//b1548//b2077//
lysU	b0942//
lysZ	b3644//
maa	b2224//
macAB	ilvG_2//b4206//
macB	b0111//
maeA	b2981//
maeB	b1954//
mak	b2133//
malEFG	b0917//b3230//b4072//
malI	b1226//
malK-lamB-malM	b0499//b3849//b3505//
malPQ	b0475//b1523//
malQ	yncK_2//
malS	b3668//
malT	b1195//
malXY	b2832//b1144//
malZ	b2347//
manA	b3617//
manXYZ	b4081//b2283//b2254//
maoP	b3144//
map-glnD-dapD	b1983//b4118//b0279//
marC	b1834//
marRAB	b3860//b2365//b3745//
matP	b2161//
mazEFG	b0423//b1317//b4328//
mcaS	b1384//
mcbA	b3547//
mcbR	b3898//
mcrA	b1893//
mcrBC	b3476//b1489//
mdaB	b1973//
mdfA	b0482//
mdh	b0539//
mdlAB	b2959//b0549//
mdtABCD-baeSR	b0555//b0513//b2174//b3329//b4041//b0376//
mdtEF	b4309//b1119//
mdtG	b2468//
mdtH	b0660//
mdtJI	b0042//b3708//
mdtK	b1615//
mdtL	b1881//
mdtM-yjiN	b1213//gpr//
mdtNOP	b4416//b2149//b2105//
mdtQ	b1270//
melAB	b0555//b0952//
melR	b4712//
menA-rraA	b3267//b3887//
menBCE	b2492//b2610//b4197//
menDHBCE	b0530//b0118//b3675//b4214//b4072//
menFDHBCE	b1139//b2252//b4153//b0978//b3530//b0640//
mepH	b0787//
mepM	b3452//
mepS	b2908//
metA	b2511//
metBL	b1156//b0536//
metC	b3229//
metE	b1719//
metF	b0890//
metG	b0051//
metH	b1576//
metJ	b4099//
metK	b0718//
metNIQ	b0252//b2955//b0608//
metR	b1066//
metT-leuW-glnUW-metU-glnVX	b4018//b1008//b2024//b2537//b2431//b3470//b2407//
metY	b0585//
metY-rimP-nusA-infB	b1628//b4011//b2942//b3233//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	b4603//b4003//b3019//b3938//b2100//b1837//b0645//b1716//
metZWV	b1373//b4059//lafU//
mfd	b3494//
mglAC	b1111//b4368//
mglBAC	b1683//b4182//b0067//
mgrB	b2254//
mgrR	icdC//
mgsA	b1220//
mgtLA	b0152//b0245//
mhpABCDFE	yeeL_2//b3069//b3570//b4386//b0046//b1143//
mhpR-lacI	b1279//b3058//
mhpT	b1782//
miaA-hfq-hflXKC	b2562//b3979//b2157//b1968//b4400//
miaB	b1909//
micA	b3991//
micC	b3655//
micF	b1233//
micL	b3644//
minCDE	b2448//b3030//b2514//
mioC	b1008//
mipA	b4504//
mlaA	b0744//
mlaFEDCB	b3043//b3140//b1413//b0596//b0749//
mlc	b0608//
mlc-ynfK	b4415//b3888//
mliC	b0197//
mlrA	b0532//
mltA	b4340//
mltB	b1256//
mltD	b4013//
mltF	b4181//
mmuPM	b0217//b2811//
mnaT-ydcZ	b0260//b3390//
mngAB	b3955//b1788//
mngR	b3594//
mnmA	b4174//
mnmC	b3379//
mnmE	b1225//
mnmG-rsmG	b2411//b3881//
mntH	b1438//
mntP	b4712//
mntR-ybiR	b0968//b3634//
moaABCDE	b1503//b2278//b3305//b0597//b3416//
moaBCDE	b2178//b1091//b0137//b0076//
mobAB	b4714//b2181//
mocA	b3848//
modABC	b3677//b1083//b4252//
modEF	b2652//b1037//
moeAB	b0208//b3864//
mog	b1876//
mokB	b3721//
mokC-hokC	b2494//b1594//
molR_1	b4032//
molR_2	b4142//
molR_3-yehI	b3097//b0512//
motAB-cheAW	b3460//b0856//b2501//b4034//
mpaA	arpB_1//
mpl	b1470//
mppA	b4514//
mprA-emrAB	b2217//b2662//yjgX_1//
mqo	b2715//
mqsRA	b1854//b2890//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b3460//b3874//b3559//b1666//b0340//b4087//b2120//b2144//b3680//b1259//b0799//b1433//b2042//b0806//3'ETS<sup><i>leuZ</i></sup>//b1667//
mrcA	b2176//
mrcB	b4599//
mreB	b4390//
mreBCD	b4298//b2786//b4318//
mreCD	b0632//b0707//
mrp	b4235//
mrr	b3426//
mscK	b0414//
mscL	b2021//
mscS	b2032//
msrA	b0932//
msrB	b0603//
msrC	b0286//
msrPQ	b1886//b0720//
msyB	b0932//
mtfA	b0605//
mtlADR	b4036//b2676//b0931//
mtn-btuF-yadS	b1297//sroC//b0080//
mtr	b3127//
mug	b3305//
murA	b1316//
murB-birA	b2921//b2293//
murJ	b4168//
murQP	b2750//rhmD//
murQP-yfeW	b2311//b4083//b1117//
murR	b2342//
mutH	b4174//
mutL-miaA-hfq-hflXKC	b1487//b1923//b3968//b2204//b0867//b4096//
mutM	b2716//
mutS	b2565//
mutY-yggX	b4173//b1763//
mutY-yggX-mltC	b3890//b4465//b0858//
mutY-yggX-mltC-nupG	b4284//b4101//b4203//b1818//
nac	b1812//
nadA-pnuC	b3042//b0412//
nadB	b3845//
nadC	b3509//
nadE	b3160//
nadK	b4322//
nagA	b0981//
nagBAC-umpH	b1711//b3981//b3804//b0723//
nagC	b3661//
nagE	yedS_3//
nagK-cobB	b2674//b1741//
nanA	b1041//
nanATEK-yhcH	b2590//b4139//b1293//b1278//b2012//
nanC	b1154//
nanCM	b2137//ficA//
nanCMS	b1922//b1274//b1546//
nanR	b1298//
nanS	b3268//
napFDAGHBC	b2260//b3426//b3843//b1134//b1685//b4226//b0429//
napFDAGHBC-ccmABCDEFGH	b1594//b3054//b1632//b3169//C0299//b2806//b1861//b1601//b2162//b1260//b4419//b1522//b4099//b2494//b1688//
narGHJI	b1296//b3772//b2876//b3715//
narK	b1418//
narP	b0392//
narQ	b3711//
narU	b0313//
narWV	b4663//b1733//
narXL	b3356//b0821//
narZYWV	b0086//ykfJ//b0959//b4327//
ndh	b2099//
ndk	b2490//
nemA	b2062//
nemR	b4409//
nemRA	b0070//b1324//
nemRA-gloA	b3609//b3484//b2904//
nepI	b1269//
nfo	b0028//
nfrBA	b2142//b1348//
nfsB	b3716//
nfuA	b1065//
nhaAR	b3294//b1117//
nhaB	b3482//
nhaR	b3785//
nhoA	b0729//
nikABCDER	b1141//b2085//b4551//b2544//b0617//b0700//
nikR	b3668//
nimR	b2887//
nimT	b2514//
nirBDC-cysG	IS128//b0756//b3208//b3687//
nlpA	ykiB//
nlpC	b2807//
nlpD-rpoS	b0482//b1072//
nlpI	b1328//
nmpC	b2804//
nohA-ydfN-tfaQ	b1847//b1687//b2337//
nohB	b0795//
norR	b2832//
norVW	b4138//b3855//
nrdAB-yfaE	b0155//b0864//ybfO//
nrdDG	b0431//b2580//
nrdG	b3404//
nrdHIEF	b3088//b0789//ynfP//b3212//
nrdR-ribDE-nusB-thiL-pgpA	b0782//b1259//b0729//b2982//b0578//b3046//
nrfABCDEFG	C0299//b1612//b0617//b1086//b1496//b1467//b4532//
nsrR-rnr-rlmB-yjfI	b2946//b3237//b4318//b0706//
nudB-yebC-ruvC	b0581//b4371//b4443//
nudC-hemE-nfi	b3063//b1388//b2944//
nudE	b4218//
nudF-yqiB-cpdA-yqiA-parE	b3394//b1385//b2362//b4439//b3851//
nudG	b2436//
nudI	b3536//
nudK	b1950//
nuoABCEFGHIJKLMN	b0989//b1326//b4287//b4289//b2208//b3314//b0375//b2930//b4377//b0091//b2467//b3583//b3562//
nuoMN	b0960//b4047//
nupC	b2040//
nupG	b2328//
nupX	b3605//
ogrK	b3026//
ogt	b3409//
ohsC	b1150//
ompA	b0560//
ompC	b3637//
ompF	b1206//
ompG	b3996//
ompL	b4687//
ompN	b0895//
ompR-envZ	b1338//b0511//
ompT	b1452//
ompW	b1237//
ompX	b1020//
omrA	b1101//
omrB	b0910//
opgB	b4069//
opgC	b2411//
opgD	b1746//
opgE	b3927//
opgGH	b3759//yhiK//
oppABCDF	b2683//b3275//b3556//b0142//b2771//
orn	b3426//
ortT	b1716//
osmB	b3102//
osmC	b4451//
osmE	b0968//
osmF-yehYXW	b4000//yrhC//b3686//b1668//
osmY	b4190//
otsA	b0800//
otsBA	b1802//b3713//
oxc	b3916//
oxyR	b4372//
oxyS	b0576//
paaABCDEFGHIJK	b1811//b1273//b1164//b3687//b4028//b3552//b3492//b0813//b2637//b0883//b4251//
paaXY	b1163//b0798//
paaZ	b2011//
pabA	b1102//
pabB-nudL	b3305//b4338//
pabC-mltG-tmk-holB-ycfH	b1690//b0909//b4139//b1015//b1254//
pagP	b3410//
panBC	b2406//b2510//
panD	b2852//
panE-yajL	b3331//b0314//
panZ	b4421//
paoABCD	b2202//b1959//b2846//b0623//
parC	b3689//
patA	b1420//
patD	b1957//
patZ	b4390//
pbl	b4316//
pbpG	b2231//
pck	b0754//
pcnB-folK	b0869//b4219//
pdeA	b0097//
pdeB	b1846//
pdeC	b1690//
pdeD	b4051//
pdeF	b2477//
pdeG	b1110//
pdeH	b2801//
pdeI-dgcI	b1894//b1994//
pdeK	b0331//
pdeL	b2045//
pdeN	b1200//
pdeR	b0524//
pdhR-aceEF-lpd	b2313//b0034//b2152//b4060//
pdxA-rsmA	b2635//b1465//
pdxA-rsmA-apaGH	b0514//b0316//b4331//b2119//
pdxB-usg-truA-dedA	b0190//b0016//b0471//b3268//
pdxH-tyrS-pdxY	b3899//b0268//b3087//
pdxJ-acpS	b0059//b1892//
pdxK	b2781//
pdxY	b4141//
pepA	b4450//
pepB	b2546//
pepD	b3115//
pepE	b1849//
pepN	b1871//
pepQ-yigZ-trkH-hemG	b0647//b3264//b1427//b0202//
pepT	b3484//
perR	b2891//
pfkA	b2959//
pfkB	b0068//
pflA	b0007//
pflB	b3599//
pflDC	b0462//b1042//
pgaABCD	b3129//b1420//b3426//b2582//
pgi	b2690//
pgk	b1923//
pgk-fbaA	b1552//b4193//
pgl	b2469//
pgpB	b1059//
pgpC-tadA	b0840//b0560//
pgrR	b2890//
pgsA	b1103//
pheLA	b2013//b0491//
pheM	b2534//
pheMST-ihfA	b4327//b0962//b2439//b0911//
pheP	insEF-2//
pheU	b0245//
pheV	b2663//
phnCDE_1E_2FGHIJKLMNOP	b1350//b2864//b3711//b4045//b4698//b2044//b4422//b1954//b4527//b1744//b0555//gpr//b0975//b3635//b2603//
phnLMNOP	gadF//b2352//b3593//b2273//b2625//
phoA-psiF	b1986//b2631//
phoBR	b2738//b4471//
phoE	b1221//
phoH	b2708//
phoPQ	b3449//b0514//
phoQ	b0041//
phoU	b4317//
phr	b3984//
pinE	b1154//
pinH	b0594//
pinQ	b0557//
pinR	b3950//
pitA	b0707//
pitB	b4208//
plaP	b4453//
pldA	b0390//
pldB-yigL	b0863//b3864//
pliG	b0548//
plsB	b0063//
plsC	b1807//
plsX-fabHDG	b1350//b3776//b1046//b3848//
pmbA	b1706//
pmrD	b2583//
pncB	b3756//
pncC	b1922//
pnp	b3609//
pntAB	b1004//b2245//
polA	b4349//
polB	b1621//
potABCD	b2549//b1175//b1104//b0090//
potFGHI	b1945//b1876//b2034//b2991//
poxB	b3529//
poxB-ltaE-ybjT	b0324//b2223//b2926//
ppa	b3787//
ppc	b2890//
ppdAB-ygdB-ppdC-recC	b0424//ychE_2//b1642//b4006//b2177//
ppdD-hofBC	b2855//b2526//b4464//
pphA	b1876//
pphB	b3446//
ppiA	b2063//
ppiB-lpxH	b2820//b0381//
ppiC	b3720//
ppiD	b1268//
ppk-ppx	b3075//b1128//
pppA	b2914//
ppsA	b3057//
ppsR	b1230//
pptA	b3361//
pqiAB	b3201//b1243//
pqqL	b4533//
preTA	b2564//b0197//
prfB-lysS	b2691//b1378//
prfC	b4110//
priA	b1323//
priC-ybaM	b4107//b0066//
prkB	b3844//
prlC-rsmJ	b1033//b0721//
prlF-yhaV	b0590//b2314//
prmB-aroC-mepA-yfcA-epmC-yfcL	b3635//b1956//b2413//b3607//b0582//b4350//
proBA	b0847//b0521//
proC	b3302//
proK	sroD//
proL	b4568//
proP	b3991//
proQ-prc	b0759//b0174//
proS	b1764//
proVWX	b4699//b4368//b1950//
prpBCDE	b2420//b3919//b2339//b1749//
prpR	b4360//
prs	b1908//
psd-mscM	b0676//b2356//
psiE	b0861//
pspABCDE	b3961//b2716//b3272//b0191//b2018//
pspBCDE	b1983//b4057//b3096//b0227//
pspE	b2523//
pspF	b0053//
pspG	b1829//
pssA	b2320//
pstB-phoU	b3714//b0241//
pstCAB-phoU	b1174//b2776//b2557//ygaQ//
pstS	b3099//
pstSCA	b1660//b2223//b2964//
pstSCAB-phoU	b2632//b1884//b0349//b4226//b4326//
psuKG	b3622//b0267//
psuT	b2488//
pta	b1683//
pth-ychF	b2971//b1120//
ptrA	b3434//
ptrA-recBD	b4525//b3962//b1691//
ptrB	b0430//
ptsA-fsaB-gldA	b2136//b0392//b1247//
ptsG	b3664//
ptsHI-crr	b4395//b0266//b2372//
purA	b1439//
purC	b1443//
purEK	b0339//b0898//
purHD	b3759//b1224//
purL	b1630//
purMN	b4418//b0994//
purR	b4460//
purT	b2223//
purU	b1737//
putA	b2155//
putP	b3755//
puuAP	b4047//b3842//
puuCBE	b2763//b4359//b2256//
puuDRCBE	b2511//b3456//b4044//b0265//b4361//
puuP	b3756//
pykA	b4105//
pykF	b1551//
pyrC	b4010//
pyrD	b1974//
pyrF-yciH	b2413//b4101//
pyrG-eno	b0226//b0384//
pyrH	b4470//
pyrLBI	b3354//b0681//b2330//
qmcA-ybbJ	b4278//b0775//
qor	b3729//
qorB	b3723//
qseBC	b4532//b3545//
qseG	b1418//
queA	b2022//
queC	b3580//
queD	b4165//
queE	b2530//
queF	b2956//
queG	b2890//
racC	yncK_1//
racR	b0331//
radA-nadR	b1421//b1411//
radD	b4398//
raiA	b1260//
ralA	b2577//
rapA	b1535//
rapA-rluA	b3850//b1904//
rarD	b1095//
ratAB	b1778//b1756//
ravA-viaA	b2127//yedS_2//
rayT	b2094//
rbn	b1112//
rbsDACBKR	b2110//b2372//b1269//b3433//b3334//b1881//
rcdA	b0381//
rclABC	b0279//b2063//pinH//
rclBC	b1114//b3170//
rclR	b4063//
rcnAB	b0036//b1029//
rcnB	b0101//
rcnR	b0262//
rcsA	b4197//
rcsB	b3385//
rcsC	b1989//
rcsDB	b3345//b4287//
rcsF-trmO	b2313//b2672//
rdgB-yggW	b3545//b4038//
rdgC	b4609//
rdlA	b3449//
rdlB	b3063//
rdlC	b3604//
rdlD	b0148//
rdoA-dsbA	b3865//b0231//
recA	b0820//
recAX	b3825//b2748//
recC	b2681//
recET-ralR-ydaC-xisR-intR	b0412//b2073//b1683//b3177//b4547//b1645//
recF	b0857//
recG	b0968//
recN	b3240//
recQ	b4284//
relA	b1203//
relA-mazEF	b2409//b4392//b4018//
relBE	b0472//b4457//
relBE-hokD	b2033//b1458//b3382//
rem	b3810//
renD-emrE	b4592//b1215//
rep	ykiB//
rfaD-waaFCL	b4554//yjhE//b1900//b2358//
rfaE	b3210//
rfaH	b2008//
rfbACX	b3871//b0953//b2426//
rfbBDACX	b2646//b4515//b2063//b3510//b2015//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b2964//b2605//b1626//b1825//b3389//b4422//b1163//b0656//b2398//b1834//b2428//b1481//
rhaBAD	b1952//b4473//b2439//
rhaD	b4426//
rhaM	b3568//
rhaSR	b1822//b2432//
rhaT	arpB_2//
rhlB	b1461//
rhlE	b3145//
rhoL	b2369//
rhoL-rho	b0989//b1419//
rhsA-yibA	b0188//b0867//
rhsB	b2472//
rhsC-ybfB	b2278//b2056//
rhsD-ybbC-ylbH-ybbD	b2843//b0596//b0454//b3901//
rhsE-ydcD	b1621//b4331//
rhtA	b0741//
rhtB	b0129//
rhtC	b2140//
ribA	b4201//
ribC	b0920//
ribE-nusB-thiL-pgpA	b2719//b1145//b0855//b2267//
ribF-ileS-lspA-fkpB-ispH	b2754//b1287//b2258//b0033//b0223//
ridA	b3609//
rihA	b1549//
rihB	b0857//
rihC	b1184//
rimJ	b3028//
rimK-ybjN	b0841//b4255//
rimL	b1491//
rimO	b2938//
rimP-nusA-infB	b3990//b4001//b4585//
rirA-waaQGPSBOJYZU	b2393//b3515//b1263//b1902//b3158//b0446//b1638//b0147//b3636//b2929//b4424//
rlmA	b3541//
rlmD	b2593//
rlmE-ftsH	b0644//b3532//
rlmF	b1009//
rlmG	b4010//
rlmI	insAB-1//
rlmJ	IS128//
rlmL-uup	b3723//b4008//
rlmM	b2488//
rlmN	b0094//
rluB	b3677//
rluC	b3478//
rluD-yfiH	b0146//b2713//
rluE-nudJ	b3124//yjiV//
rluF	b3741//
rmf	b0560//
rmuC	b2838//
rna	b1986//
rnb	b2672//
rnc-era	b0706//b0862//
rnc-era-recO-pdxJ-acpS	b0951//b2185//b3691//b2104//b1413//
rnd	b3902//
rne	b0535//
rnhA	b3060//
rnk	b2076//
rnlA	b2769//
rnlAB	b1202//b4509//
rnlB	b3987//
rnpB	b4554//
rnt-lhr	b2328//b3794//
rob	b1079//
rodZ	b1152//
roxA	b4390//
rpe-gph-trpS	b1458//b0308//b3961//
rph	b0829//
rph-pyrE	b2492//b0719//
rpiA	b1411//
rpiB	b0287//
rpiR-alsBACE	b1892//b4224//b3252//b2147//b1015//
rplJL-rpoBC	b2414//b2030//b4018//b0766//
rplKAJL-rpoBC	b4413//b2360//b4341//b3954//b2508//b0968//
rplL	b3263//
rplM-rpsI	b0884//b2010//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	b2567//b1636//b0568//b0828//b3496//b4339//b3644//b3389//b1931//b2554//b2292//b2590//
rplT	b4131//
rplT-pheM	b0193//b2279//
rplU-rpmA	b3356//b3085//
rplU-rpmA-yhbE-obgE	b0949//b0203//b0415//b1573//
rplY	b3977//
rpmBG	b1410//b2505//
rpmBG-mutM	b1638//b1919//b1645//
rpmE	b0606//
rpmF-plsX-fabHDG	b4083//b2252//b3929//rirA//b0522//
rpmH-rnpA	b1556//b2154//
rpmI-rplT	b2748//b3690//
rpoBC	b1975//b0815//
rpoD	b3333//
rpoE-rseABC	b3817//b0661//b3811//b0111//
rpoH	b2012//
rpoN-hpf-ptsN-rapZ-npr	b3681//b2081//b1001//b2373//b0315//
rpoS	b4196//
rpoZ-spoT-trmH-recG	b2769//b2382//b2101//b0861//
rppH-ptsP	b3781//b3176//
rprA	b4255//
rpsA-ihfB	b2349//rhsE//
rpsF-priB-rpsR-rplI	b3569//b1162//b3959//b2942//
rpsI	b1125//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b0899//b0357//b1123//b0567//b0086//b3680//b2581//b3632//b0483//b3696//b2574//
rpsLG-fusA-tufA	b1276//b4284//b1944//b4485//
rpsMKD-rpoA-rplQ	b4090//b3495//b3324//b0344//b1484//
rpsO	b3565//
rpsO-pnp	b2483//b4398//
rpsP-rimM-trmD-rplS	b4317//b3752//b2511//b2734//
rpsT	b1323//
rpsU	b2078//
rpsU-dnaG-rpoD	b0270//ychG_2//b3972//
rraA	b2706//
rraB	b3141//
rrfG	b1252//
rrlA-rrfA	b4232//b3139//
rrlB-rrfB	b3409//b3076//
rrlE-rrfE	b2026//b1745//
rrlH-rrfH	b1568//b2799//
rrsA-ileT-alaT-rrlA-rrfA	b2503//b2036//b3879//b4441//b4523//
rrsB-gltT-rrlB-rrfB	b3826//b0518//b1843//b0902//
rrsC-gltU-rrlC-rrfC	b2381//b1780//b4218//b0414//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b2542//b0784//b0205//b2183//b4392//b1967//b4078//
rrsE-gltV-rrlE-rrfE	ecpE//b0212//b0396//b0533//
rrsG-gltW-rrlG-rrfG	b0927//b1588//b0303//b0954//
rrsH-ileV-alaV-rrlH-rrfH	b4314//b1475//b3299//b1613//b1400//
rsd	b0730//
rseABC	b2457//b3759//b2217//
rseP	b3303//
rseX	b4427//
rsfS-rlmH-mrdAB-rlpA	b3619//b2120//b3091//b0381//b3938//
rsgA	b2486//
rsmA-apaGH	b1009//b4358//b2244//
rsmB	b2380//
rsmC	b3527//
rsmD-yhhL	b4164//insB-7_2//
rsmE-gshB	b4312//b0425//
rsmF	tpke11//
rsmG	b2621//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b3149//ychG_1//b1606//b4608//b3617//b1551//b1125//b3342//b2669//b1958//b2498//b1993//b3881//b0549//b3307//
rsmI	b0285//
rspAB	b3758//b2164//
rssAB	b1318//b4357//
rssB	b0647//
rstAB	b2980//b3079//
rsuA	b4374//
rsxABCDGE-nth	yjgX_2//b0221//b1207//b0772//b2829//b0394//b2554//
rtcBA	b4538//b2066//
rtcR	b1353//
rttR	b1838//
rutABCDEFG	b1509//b3079//b0885//b3055//b3818//b2823//b3120//
rutR	b2427//
ruvAB	b4406//b2682//
ruvC	b3740//
rybA-mntS	b4663//b1547//
rybB	b0306//
rydB	b1129//
rydC	b0729//
ryeA	b0771//
ryfA	b2623//
ryfD	b0557//
ryhB	b0539//
ryjA	b4242//
ryjB	b1168//
rzoD	b2615//
rzoR	b2540//
sad	b3666//
safA-ydeO	b1497//b2376//
sanA-yeiS	b2394//b1881//
sapABCDF	b1285//b0920//b2872//b4484//b4183//
satP	b4119//
sbcB	b2383//
sbcDC	b3634//b0849//
sbmA-yaiW	b1500//b0981//
sbmC	b3785//
sbp	b1611//
scpA-argK-scpBC	b2768//b4142//b0949//b3563//
sdaA	b0942//
sdaCB	b0361//b3780//
sdhCDAB-sucABCD	b2921//b0220//b2420//b3788//b3901//b2128//b3556//b0176//
sdhDAB	b2034//b3141//b0496//
sdhE-cptA	b4174//b1491//
sdiA	b0548//
sdsN	b2502//
sdsR	b4001//
secB-gpsA	b4611//b3317//
secE-nusG	b3440//b4363//
secG	b3056//
secG-leuU	b0752//b2922//
secMA-mutT	b3332//b3478//b4133//
selAB	b3637//b0872//
selC	b1640//
selD-topB	b1513//b1053//
selU	b2701//
seqA-pgm	ybcD//b2394//
serA	b0948//
serB	b4608//
serB-radA	b1600//b1935//
serC	b2303//
serC-aroA	b1090//b0858//
serS	b1125//
serT	b1059//
serU	b0753//
serV-argVYZQ	b3766//b2457//b2099//b4326//b3355//
serW	b4347//
serX	b0166//
setB	b2659//
setC	b3260//
sfmA	b3268//
sfmCD	b2338//b0939//
sfmHF	b2238//b1724//
sfsA-dksA	b0494//b3347//
sfsB	b0711//
sgcXBCQAER	b3168//b0423//b2415//b3970//b3645//b1241//b1407//
sgrR-sroA-tbpA-thiPQ	b1111//b1019//b3308//b0829//b4318//
sgrST-setA	b0096//b2388//b2169//
shiA	b2072//
shoB	b4265//
sibA	b1351//
sibB	b3396//
sibC	b1366//
sibD	b0681//
sibE	b1098//
sieB	sroC//
sixA	b4609//
skp-lpxD-fabZ-lpxA	b1704//b0685//b1547//b2388//
slp-dctR	b3661//b4224//
slt	b3901//
slyA	b3727//
slyB	b3363//
slyD	b2310//
slyX	b0146//
smf	b2144//
smg	b0016//
smpB	b3599//
smrA	b4076//
smrB	b0146//
sodA	b3896//
sodB	b3634//
sodC	b3891//
sohB	b0393//
sokB	b1274//
sokC	b3215//
solA-yceO	b2711//b4212//
soxR	b0670//
soxS	b3263//
speAB	b3737//b1078//
speB	b2994//
speC	b0373//
speF-potE	b2533//b4355//
spf	b0795//
sppA	b3656//
spy	b0506//
sra	b0215//
sraA	b1196//
sraB	b1221//
sraG	b0951//
srlAEBD-gutM-srlR-gutQ	b4518//b2330//b2823//b2697//b3877//b0827//b1806//
srlR	b1800//
srmB	b4066//
sroA	b3183//
sroG-ribB	b4049//b0490//
sroH	b3785//
ssb	b0047//
sseA	b4482//
sseB	b1139//
ssnA	b4318//
sspAB	b2097//b2028//
ssrA	b4358//
ssrS	b4012//
ssrS-fau	b2568//b3756//
sstT	b1624//
ssuEADCB	b0555//b2008//b4483//b4616//b2708//
stfE-tfaE	b3479//b1575//
sthA	b2953//
stpA	b0296//
sucAB	b0616//b2703//
sucABCD	b1842//b1254//b0895//b0182//
sufABCDSE	b3255//b2514//b3727//b2691//b1018//b1233//
sugE	b0749//
suhB	b3770//
sulA	b0890//
surA-pdxA-rsmA-apaGH	b0403//b0550//b3053//b1715//b3251//
sutR	b1963//
sxy	b2889//
syd	b4712//
symE	b0083//
symR	b3400//
tabA	b3759//
tag-yiaC	b2368//b2168//
talA	b3256//
talA-tktB	b4387//b1393//
talB	b0117//
tam	b4385//
tamAB-ytfP	b0315//b1796//b4045//
tar-tap-cheRBYZ	b3772//b1824//b3422//b3684//b0654//b2620//
tas	b1825//
tatABC	b2159//b1555//b2499//
tatABCD	b0779//b4028//b1997//b3805//
tatD	b2398//
tatE	b0692//
tauABCD	b4041//b0787//b2080//gapC_1//
tcdA	b1254//
tcyJ	b2914//
tcyP	yghE//
tdcABCDEFG	b4186//b2262//yfaS_2//b4149//b2469//b4351//b1839//
tdcBCDEFG	b2560//b2002//b1545//b0349//b4443//b2216//
tdcR	b3223//
tdk	b0879//
tehAB	b3077//b1915//
tesA-ybbO	b0521//b2602//
tesB	b0340//
tfaD	b1642//
tfaS	b2356//
tfaX	b2669//
tff-rpsB-tsf	b1326//b3934//b1297//
tgt-yajC	b3976//b4366//
thiCEFSGH	b3469//b1692//b0579//b3441//b4095//b2629//
thiI	b3369//
thiMD	b0524//b2028//
thpR	b4329//
thrL	b4143//
thrLABC	b3319//b1319//b3945//b1655//
thrS-infC	b0171//b3902//
thrS-infC-rpmI-rplT-pheMST-ihfA	b1707//b4268//b1055//b3880//b0602//b0508//b2864//b1661//
thrU-tyrU-glyT-thrT-tufB	b0904//b1683//b3605//b4195//b3626//
thrW	b2587//
thyA	b2049//
tig	b2622//
tilS	b2443//
tisB	b2281//
tktA	b1187//
tktB	ychG_1//
tldD	b1904//
tnaC	b0967//
tnaCAB	b3343//b0983//b0694//
tolB-pal-cpoB	b0225//b2506//b2766//
tolC-ygiABC	b0234//b1618//b0670//b4407//
tomB-hha	b3813//b2258//
tonB	b0967//
topA	b3265//
topAI-yjhQ	b1089//b2370//
torCAD	b2493//b1928//b3801//
torI	b4014//
torR	b3673//
torS	b0099//
torT	b3904//
torYZ	b0835//b0341//
tp2	b1929//
tpiA	b2418//
tpke11	b2440//
tpke70	b0342//
tpx	b1711//
tqsA	b2482//
treA	b1974//
treBC	b2914//b0548//
treF	b2916//
treR	b0296//
trg	b1061//
trkA	b1577//
trkG	b1719//
trmA	b3611//
trmI-yggL	b0947//b3064//
trmJ	b1744//
trmL	b4117//
trpCBA	b4010//b1047//b0922//
trpL	b3724//
