# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ispA//
yfdPQ	
yfdRST	yohF//
yfdX_frc_oxc_yfdVE	hcaC//alr//eptC//
yfeCD	
yfeKS	
yfeYX	yfeX//
yffB_dapE_ypfN	arnA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ascB//
yfiP_patZ	ndk//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pheA//
ygaXY	
ygaZH	wecB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ileS//accA//narV//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	lsrK//
yggX_mltC	wecC//
yggX_mltC_nupG	garL//ybcF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ilvA//yhdJ//
ygiM_cca	cobC//
ygjJK	dxs//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	yajO//dapA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ansB//mtgA//paaY//gcvT//speE//frlC//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	menD//
yicJI	citE//
yicR_rpmBG	
yicR_rpmBG_mutM	dgcT//
yidHGF	
yidKJ	
yieEF	gmd//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	gpt//cmoB//
yifNO	
yigGF	
yihLM	
yihPO	speF//
yihUTS	qor//ruvB//gloC//
yihVW	yicI//
yihXY_dtd_yiiD	pncA//ynfF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	cpdA//moeB//hyaB//pdeH//ilvD//alkB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	aroE//nudC//
yjiHG_iadA	mqo//
yjiML	
yjiPQ	
yjiXA	entA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	panE//argF//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	yfbR//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	xthA//
ynfB_speG	glyS//
ynfEFGH_dmsD	ydfG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	cobB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rlmJ//
yqaE_kbp	
yqcC_truC_yqcA	glcE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	frdC//malS//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	nudJ//
yrbG_kdsDC_lptCAB	nadK//psuK//yigB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	purD//leuC//
yrfG_hslR	aroE//
ytfQRT_yjfF	arnB//
ytjB_lplA	rffM//
znuCB	kdsD//
zraSR	
