# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nadE//
yfdONMLK	
yfdPQ	
yfdRST	rutD//
yfdX_frc_oxc_yfdVE	ung//scpC//nagA//
yfeCD	
yfeKS	
yfeYX	nrdB//
yffB_dapE_ypfN	melA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	phnO//
yfiP_patZ	puuC//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	iaaA//
ygaXY	
ygaZH	nanA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	cobS//epmC//astA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	dapB//
yggX_mltC	mrdA//
yggX_mltC_nupG	dadA//yqjG//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	metH//opgB//
ygiM_cca	emtA//
ygjJK	ygaP//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	hyuA//bioC//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	uxuB//nudB//aspA//epd//azoR//fadM//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	moaA//
yicJI	sodA//
yicR_rpmBG	
yicR_rpmBG_mutM	ispD//
yidHGF	
yidKJ	
yieEF	dmlA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ybbO//hcaF//
yifNO	
yigGF	
yihLM	
yihPO	yqjH//
yihUTS	pdxY//fabG//bglA//
yihVW	fre//
yihXY_dtd_yiiD	ispF//ybdL//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rluB//rne//prpB//rpiB//rlmD//alaA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mhpE//eptC//
yjiHG_iadA	wecC//
yjiML	
yjiPQ	
yjiXA	lsrK//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	acs//yeiG//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	adk//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	fre//
ynfB_speG	paaC//
ynfEFGH_dmsD	fkpB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	murI//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ldcA//
yqaE_kbp	
yqcC_truC_yqcA	polA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rhaB//argD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	yqaB//
yrbG_kdsDC_lptCAB	hemL//nadD//hcaC//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	wecB//lpxD//
yrfG_hslR	mug//
ytfQRT_yjfF	hflX//
ytjB_lplA	moeB//
znuCB	aldA//
zraSR	
