# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lpxA//
yfdX_frc_oxc_yfdVE	glpC//menD//otsA//
yfeCD	
yfeKS	
yfeYX	torZ//
yffB_dapE_ypfN	allC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	dcm//
yfiP_patZ	arnT//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	aspC//
ygaXY	
ygaZH	hisH//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ynjE//lpxA//nrdB//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	mtgA//
yggX_mltC	glgA//
yggX_mltC_nupG	ruvB//hemB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ilvM//torY//
ygiM_cca	yghA//
ygjJK	pyrG//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rffC//eutB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	narG//nrfD//carB//treA//gcd//paaG//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	ychF//
yicJI	selA//
yicR_rpmBG	
yicR_rpmBG_mutM	tsaC//
yidHGF	
yidKJ	
yieEF	ycjU//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	lpxC//hchA//
yifNO	
yigGF	
yihLM	
yihPO	lipB//
yihUTS	gltD//epmB//uvrA//
yihVW	waaO//
yihXY_dtd_yiiD	yfcG//menF//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	dkgB//nudK//trpD//orn//uvrB//rffT//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	nrfD//waaZ//
yjiHG_iadA	thiI//
yjiML	
yjiPQ	
yjiXA	glpB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	gph//eutB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gsk//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	kefF//
ynfB_speG	ldtB//
ynfEFGH_dmsD	argH//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	metL//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	fadM//
yqaE_kbp	
yqcC_truC_yqcA	nagB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	argH//citE//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	nudB//
yrbG_kdsDC_lptCAB	dut//rutA//nagK//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	nrdE//glgB//
yrfG_hslR	hypB//
ytfQRT_yjfF	yfbR//
ytjB_lplA	ispH//
znuCB	pgaC//
zraSR	
