# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnP//
yfdONMLK	
yfdPQ	
yfdRST	ybjI//
yfdX_frc_oxc_yfdVE	aroL//ileS//caiC//
yfeCD	
yfeKS	
yfeYX	speE//
yffB_dapE_ypfN	xdhA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	plsB//
yfiP_patZ	adeD//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	eptA//
ygaXY	
ygaZH	rffG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	glmM//prpB//chbF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pphB//
yggX_mltC	betA//
yggX_mltC_nupG	torC//dapB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	metH//cysJ//
ygiM_cca	xapA//
ygjJK	ispA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	cysD//dcyD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	cysC//yagF//panC//hcaF//mtn//asnA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	yeiR//
yicJI	araB//
yicR_rpmBG	
yicR_rpmBG_mutM	mhpF//
yidHGF	
yidKJ	
yieEF	ldtE//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	cysI//sdaA//
yifNO	
yigGF	
yihLM	
yihPO	astC//
yihUTS	treA//rph//ybhA//
yihVW	ppx//
yihXY_dtd_yiiD	prmB//rfaD//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	astB//pphA//lipA//rnb//cysQ//tesB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ribC//preT//
yjiHG_iadA	frdB//
yjiML	
yjiPQ	
yjiXA	yjiA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	mazG//dmsA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ldtE//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	yidA//
ynfB_speG	cobU//
ynfEFGH_dmsD	entE//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	phnI//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rlmM//
yqaE_kbp	
yqcC_truC_yqcA	glcE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rffH//mutS//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	kbaY//
yrbG_kdsDC_lptCAB	etk//ldtE//phnJ//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	prpD//sdhA//
yrfG_hslR	sgbU//
ytfQRT_yjfF	ydjG//
ytjB_lplA	glk//
znuCB	narG//
zraSR	
