# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	napC//
yfdX_frc_oxc_yfdVE	astD//sucC//pdxH//
yfeCD	
yfeKS	
yfeYX	dnaE//
yffB_dapE_ypfN	lpxK//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	miaA//
yfiP_patZ	tdcG//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rihA//
ygaXY	
ygaZH	araA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	queA//eutC//hisF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ydiB//
yggX_mltC	poxB//
yggX_mltC_nupG	lhgO//murD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	paoC//dnaE//
ygiM_cca	paaC//
ygjJK	gntK//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	menB//glcE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ribC//fucU//glpE//dusB//hyaA//xylA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	aspC//
yicJI	ampH//
yicR_rpmBG	
yicR_rpmBG_mutM	ispE//
yidHGF	
yidKJ	
yieEF	torZ//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ymdB//lgoD//
yifNO	
yigGF	
yihLM	
yihPO	ndk//
yihUTS	pabC//gpmM//rpiA//
yihVW	nudK//
yihXY_dtd_yiiD	dgcM//paoA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	rutA//astC//ispA//aroG//hcaD//phnN//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	nudJ//fumC//
yjiHG_iadA	paaH//
yjiML	
yjiPQ	
yjiXA	ydbC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	torA//ilvM//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	menI//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	malP//
ynfB_speG	garD//
ynfEFGH_dmsD	epmA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	guaA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	caiC//
yqaE_kbp	
yqcC_truC_yqcA	ppk//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	pspE//dgcT//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	leuC//
yrbG_kdsDC_lptCAB	pabA//acpS//ssuE//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	lsrF//phnO//
yrfG_hslR	serB//
ytfQRT_yjfF	fkpB//
ytjB_lplA	hypB//
znuCB	carB//
zraSR	
