# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sucB//
yfdX_frc_oxc_yfdVE	glcB//preA//fkpA//
yfeCD	
yfeKS	
yfeYX	lpxP//
yffB_dapE_ypfN	yfbT//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	hinT//
yfiP_patZ	ybdL//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	pdeL//
ygaXY	
ygaZH	caiD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	galE//speD//pfkA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	thrB//
yggX_mltC	dnaE//
yggX_mltC_nupG	pdxB//queF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ampD//rsmE//
ygiM_cca	hyi//
ygjJK	dapB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	paoC//metE//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	murG//leuD//feaB//nanE//nanK//insI-3//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	sodA//
yicJI	hcaB//
yicR_rpmBG	
yicR_rpmBG_mutM	btuE//
yidHGF	
yidKJ	
yieEF	uxuA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	thrA//ppiB//
yifNO	
yigGF	
yihLM	
yihPO	ldtC//
yihUTS	murQ//mrcA//gcvT//
yihVW	rutB//
yihXY_dtd_yiiD	tgt//rpe//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	narI//pyrC//pdeF//argH//tktA//gabD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	ribC//moaD//
yjiHG_iadA	citD//
yjiML	
yjiPQ	
yjiXA	waaU//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	hycF//mcrB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	paaI//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	dkgB//
ynfB_speG	ybjG//
ynfEFGH_dmsD	mutY//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	bacA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	prpC//
yqaE_kbp	
yqcC_truC_yqcA	rlmL//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	folX//hyaC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	fabH//
yrbG_kdsDC_lptCAB	mnmA//nadA//glcD//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	ydjG//icd//
yrfG_hslR	nrdD//
ytfQRT_yjfF	cysI//
ytjB_lplA	add//
znuCB	ybcF//
zraSR	
