# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	caiB//
yfdPQ	
yfdRST	recG//
yfdX_frc_oxc_yfdVE	wzc//rpe//trpD//
yfeCD	
yfeKS	
yfeYX	cof//
yffB_dapE_ypfN	treC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	truA//
yfiP_patZ	ravA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	tauD//
ygaXY	
ygaZH	prmB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	sdhB//dgcT//astD//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pabB//
yggX_mltC	ydfG//
yggX_mltC_nupG	gluQ//nrfC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	pbpC//ldtD//
ygiM_cca	oxc//
ygjJK	paaB//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	proA//paaG//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	gltD//sodA//dmsB//coaA//mltF//dadX//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	waaA//
yicJI	paaB//
yicR_rpmBG	
yicR_rpmBG_mutM	ampH//
yidHGF	
yidKJ	
yieEF	umpG//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	ansA//rfe//
yifNO	
yigGF	
yihLM	
yihPO	astE//
yihUTS	hemG//lsrG//dacC//
yihVW	pyrE//
yihXY_dtd_yiiD	argK//rlmE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	eutD//wrbA//thiG//glgA//edd//nrfB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	panC//ydjG//
yjiHG_iadA	adiA//
yjiML	
yjiPQ	
yjiXA	treC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	glpD//ubiG//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	yfiH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	pyrE//
ynfB_speG	uxuA//
ynfEFGH_dmsD	ybiV//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	lipB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	deoC//
yqaE_kbp	
yqcC_truC_yqcA	gcvP//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ldtB//nagB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	folK//
yrbG_kdsDC_lptCAB	rpe//yeiG//pgpA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	purM//luxS//
yrfG_hslR	nagZ//
ytfQRT_yjfF	rsmH//
ytjB_lplA	iaaA//
znuCB	dxs//
zraSR	
