# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gltA//
yfdRST	allD//
yfdX_frc_oxc_yfdVE	ldcC//rutD//polA//
yfeCD	
yfeKS	
yfeYX	cadA//
yffB_dapE_ypfN	plsB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ilvB//
yfiP_patZ	ushA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ubiD//
ygaXY	
ygaZH	ubiG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	araA//yqjH//malY//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	gldA//
yggX_mltC	mocA//
yggX_mltC_nupG	aceF//yciA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	tmk//ugd//
ygiM_cca	putA//
ygjJK	amn//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	lsrK//rhaD//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	yfbR//fadA//cysI//gluQ//etp//alaS//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	alsE//
yicJI	aroF//
yicR_rpmBG	
yicR_rpmBG_mutM	caiA//
yidHGF	
yidKJ	
yieEF	der//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	trmA//mtn//
yifNO	
yigGF	
yihLM	
yihPO	rlmL//
yihUTS	yihX//icd//scpC//
yihVW	gmk//
yihXY_dtd_yiiD	panD//ybiV//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	mutH//dcyD//yhdJ//fabG//murG//cobT//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	dhaK//nudL//
yjiHG_iadA	aspA//
yjiML	
yjiPQ	
yjiXA	ldtA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	trmO//surA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rlmL//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	purU//
ynfB_speG	cobB//
ynfEFGH_dmsD	fadA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	murB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	paaI//
yqaE_kbp	
yqcC_truC_yqcA	ddlA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rbsK//prmC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ldtE//
yrbG_kdsDC_lptCAB	yghA//eutB//ndk//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	betA//mnmE//
yrfG_hslR	pabC//
ytfQRT_yjfF	paaI//
ytjB_lplA	opgE//
znuCB	ispA//
zraSR	
