# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffM//
yfdX_frc_oxc_yfdVE	xylA//epmC//galT//
yfeCD	
yfeKS	
yfeYX	yfdR//
yffB_dapE_ypfN	ydiO//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ppk//
yfiP_patZ	rutB//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	rutB//
ygaXY	
ygaZH	fadD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	ispH//mocA//patZ//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	mnmE//
yggX_mltC	metA//
yggX_mltC_nupG	murE//ilvG_1//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ribA//tatD//
ygiM_cca	tdcB//
ygjJK	rrrD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	maa//paaB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	fadK//dhaM//maa//gpmA//deoA//ynfE//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	arnC//
yicJI	hyaA//
yicR_rpmBG	
yicR_rpmBG_mutM	yigB//
yidHGF	
yidKJ	
yieEF	bcsA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	queC//lacA//
yifNO	
yigGF	
yihLM	
yihPO	yihU//
yihUTS	frlB//rutA//ycjU//
yihVW	napC//
yihXY_dtd_yiiD	tdk//mug//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	gor//yneH//trmA//ubiI//yhdH//pldA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	upp//speB//
yjiHG_iadA	tauD//
yjiML	
yjiPQ	
yjiXA	umpH//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	kefF//pdeH//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gcvH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	purA//
ynfB_speG	pabB//
ynfEFGH_dmsD	pyrB//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	mtn//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	fadK//
yqaE_kbp	
yqcC_truC_yqcA	murQ//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	lipB//nudK//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	aroL//
yrbG_kdsDC_lptCAB	ldhA//insI-2//yhhW//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gldA//rihC//
yrfG_hslR	purA//
ytfQRT_yjfF	adhE//
ytjB_lplA	ispB//
znuCB	pfkA//
zraSR	
