# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	hchA//
yfdX_frc_oxc_yfdVE	mcrB//dgkA//xdhB//
yfeCD	
yfeKS	
yfeYX	birA//
yffB_dapE_ypfN	dhaK//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	rdoA//
yfiP_patZ	apt//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mtn//
ygaXY	
ygaZH	aroF//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	bacA//pncC//rlmF//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	yigB//
yggX_mltC	hchA//
yggX_mltC_nupG	idnO//nagB//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	trpC//scpA//
ygiM_cca	yagE//
ygjJK	yrfG//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rlmB//nudJ//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	dgcP//tsaC//ppiA//pdxA//glmU//hcaB//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	rph//
yicJI	yihS//
yicR_rpmBG	
yicR_rpmBG_mutM	tyrA//
yidHGF	
yidKJ	
yieEF	yfcG//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	treC//mtn//
yifNO	
yigGF	
yihLM	
yihPO	uxuA//
yihUTS	ispD//adeD//frlB//
yihVW	aldB//
yihXY_dtd_yiiD	sdaB//tsaE//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yjcS//rpiB//menI//aspC//nfsA//icd//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pabB//rutA//
yjiHG_iadA	adhE//
yjiML	
yjiPQ	
yjiXA	rlmF//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	patZ//gatZ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	mutS//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	tdcD//
ynfB_speG	narI//
ynfEFGH_dmsD	wecC//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	kdsD//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	phnP//
yqaE_kbp	
yqcC_truC_yqcA	asnB//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	yigL//fadI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	panB//
yrbG_kdsDC_lptCAB	pheS//pyrF//nrdA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	fucO//folX//
yrfG_hslR	carB//
ytfQRT_yjfF	frmB//
ytjB_lplA	ynfE//
znuCB	phnO//
zraSR	
