# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	queF//
yfdX_frc_oxc_yfdVE	gpp//rnb//yciA//
yfeCD	
yfeKS	
yfeYX	fadA//
yffB_dapE_ypfN	yjjX//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	paaH//
yfiP_patZ	fkpA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	mpaA//
ygaXY	
ygaZH	phnI//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	scpC//gatY//fruK//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	rsmD//
yggX_mltC	tktA//
yggX_mltC_nupG	pncC//fre//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	pyrH//metK//
ygiM_cca	rsmH//
ygjJK	queA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ampC//xylA//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	nudJ//pflB//mcrC//hcaC//thiH//purM//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	waaJ//
yicJI	ymdB//
yicR_rpmBG	
yicR_rpmBG_mutM	pheA//
yidHGF	
yidKJ	
yieEF	moaA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	psuK//uvrA//
yifNO	
yigGF	
yihLM	
yihPO	glpQ//
yihUTS	cynT//rlmM//argB//
yihVW	amn//
yihXY_dtd_yiiD	ackA//aphA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	hycF//sdhD//recR//mnaT//hypB//nanA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	thiF//pfkA//
yjiHG_iadA	hemG//
yjiML	
yjiPQ	
yjiXA	otsB//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	dgcM//pabB//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	gss//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	gph//
ynfB_speG	udp//
ynfEFGH_dmsD	malY//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	fucI//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	ghrB//
yqaE_kbp	
yqcC_truC_yqcA	bacA//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	caiD//plsB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	ubiA//
yrbG_kdsDC_lptCAB	recR//bioH//aldB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	gcvH//amiD//
yrfG_hslR	thiC//
ytfQRT_yjfF	prpE//
ytjB_lplA	uxaC//
znuCB	fdhF//
zraSR	
