# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patA//
yfdX_frc_oxc_yfdVE	plsC//entA//ppiB//
yfeCD	
yfeKS	
yfeYX	kbaY//
yffB_dapE_ypfN	glmU//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	purU//
yfiP_patZ	trpC//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ynfG//
ygaXY	
ygaZH	emtA//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	hcp//abgB//mocA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	mltB//
yggX_mltC	paoA//
yggX_mltC_nupG	guaA//rutC//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	prpB//curA//
ygiM_cca	dcd//
ygjJK	rpiA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	entC//eptB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	rsmB//asnS//pgpA//dnaQ//cysI//mcrA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	purU//
yicJI	serB//
yicR_rpmBG	
yicR_rpmBG_mutM	speB//
yidHGF	
yidKJ	
yieEF	gadA//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	argS//mog//
yifNO	
yigGF	
yihLM	
yihPO	pyrF//
yihUTS	xthA//garD//gcvP//
yihVW	menC//
yihXY_dtd_yiiD	hdhA//hflX//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	thyA//cmoB//clsB//clsC//lpd//gpmA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	paaI//aslA//
yjiHG_iadA	trmH//
yjiML	
yjiPQ	
yjiXA	slt//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	proS//fdhF//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	pyrH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	wecB//
ynfB_speG	purH//
ynfEFGH_dmsD	dxr//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	cfa//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	mcrB//
yqaE_kbp	
yqcC_truC_yqcA	adk//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	astC//thiI//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	bioF//
yrbG_kdsDC_lptCAB	hisS//alaS//argG//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	mepS//yneH//
yrfG_hslR	cadA//
ytfQRT_yjfF	fabH//
ytjB_lplA	galM//
znuCB	gph//
zraSR	
