# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffC//
yfdRST	purF//
yfdX_frc_oxc_yfdVE	icd//yfdR//lysS//
yfeCD	
yfeKS	
yfeYX	cysG//
yffB_dapE_ypfN	tmcA//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	eutD//
yfiP_patZ	yfaU//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	moaA//
ygaXY	
ygaZH	ispG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	leuA//ssuD//cadA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	fumB//
yggX_mltC	proA//
yggX_mltC_nupG	talA//rsmA//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	phr//mnmA//
ygiM_cca	ruvA//
ygjJK	ribC//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	serA//bioB//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	mdh//ubiD//mcrA//valS//dacD//edd//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	iaaA//
yicJI	lpcA//
yicR_rpmBG	
yicR_rpmBG_mutM	frc//
yidHGF	
yidKJ	
yieEF	treC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	dcyD//dmsA//
yifNO	
yigGF	
yihLM	
yihPO	allA//
yihUTS	ppiB//waaS//fre//
yihVW	cfa//
yihXY_dtd_yiiD	maeB//thiL//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ygeX//ygeX//prs//yqhD//tpiA//purN//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	mltF//mltF//
yjiHG_iadA	serA//
yjiML	
yjiPQ	
yjiXA	rluA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	galM//queC//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	hisB//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	pldA//
ynfB_speG	idi//
ynfEFGH_dmsD	proS//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	roxA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	rnpA//
yqaE_kbp	
yqcC_truC_yqcA	pgi//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	rpiB//lpxM//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rnt//
yrbG_kdsDC_lptCAB	preA//ttdA//caiA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	murB//ldtE//
yrfG_hslR	waaQ//
ytfQRT_yjfF	mepS//
ytjB_lplA	xdhB//
znuCB	hcaB//
zraSR	
