# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pgaB//
yfdONMLK	
yfdPQ	
yfdRST	folD//
yfdX_frc_oxc_yfdVE	aroG//ansA//nudI//
yfeCD	
yfeKS	
yfeYX	der//
yffB_dapE_ypfN	pdxB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	mltA//
yfiP_patZ	ravA//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ribA//
ygaXY	
ygaZH	hemG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	mhpC//ubiA//cfa//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pykF//
yggX_mltC	ispD//
yggX_mltC_nupG	ndk//treF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	clsB//gatD//
ygiM_cca	argD//
ygjJK	hypF//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	rbsK//tdk//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	cynS//queF//atoB//pgpA//tig//mdh//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	prpC//
yicJI	maeA//
yicR_rpmBG	
yicR_rpmBG_mutM	glcD//
yidHGF	
yidKJ	
yieEF	rsmF//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	phnP//rihB//
yifNO	
yigGF	
yihLM	
yihPO	ldtE//
yihUTS	thrC//pinE//srlD//
yihVW	cyoE//
yihXY_dtd_yiiD	ahpF//phnP//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	cynS//yjjG//waaO//cpdA//roxA//mmuM//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	coaA//sthA//
yjiHG_iadA	ydiO//
yjiML	
yjiPQ	
yjiXA	cyoE//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	gnd//tnaA//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	rlmH//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	uxuB//
ynfB_speG	tatD//
ynfEFGH_dmsD	dadX//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	ampH//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	narG//
yqaE_kbp	
yqcC_truC_yqcA	chbG//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	nrfB//trmD//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	yneH//
yrbG_kdsDC_lptCAB	nrdA//yfaU//etk//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	rffG//cpdB//
yrfG_hslR	araA//
ytfQRT_yjfF	treC//
ytjB_lplA	pabA//
znuCB	yjeF//
zraSR	
