# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	acpH//
yfdX_frc_oxc_yfdVE	pdxA//gshB//nrfC//
yfeCD	
yfeKS	
yfeYX	yiaY//
yffB_dapE_ypfN	nagB//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	yjeF//
yfiP_patZ	rffH//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	yohF//
ygaXY	
ygaZH	rrrD//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	dgcZ//folX//trpA//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	garK//
yggX_mltC	napG//
yggX_mltC_nupG	hycE//truD//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	narY//dacA//
ygiM_cca	lpxM//
ygjJK	truA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	folK//aroL//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	wecC//garK//metB//ttdB//chbF//alr//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	hcaB//
yicJI	paaK//
yicR_rpmBG	
yicR_rpmBG_mutM	yfeW//
yidHGF	
yidKJ	
yieEF	pgpB//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	phnL//yjeF//
yifNO	
yigGF	
yihLM	
yihPO	rlmI//
yihUTS	trpB//sdhD//fadI//
yihVW	uxaB//
yihXY_dtd_yiiD	yiaY//codA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	eutD//edd//talB//xdhC//gpmA//rnpA//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	pdeF//sbcB//
yjiHG_iadA	katG//
yjiML	
yjiPQ	
yjiXA	wzb//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	ybaS//rbn//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	maa//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	glnS//
ynfB_speG	rbsD//
ynfEFGH_dmsD	proC//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	uxaA//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	arnC//
yqaE_kbp	
yqcC_truC_yqcA	hmp//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	cysQ//thiC//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	psuK//
yrbG_kdsDC_lptCAB	pphA//speG//lpxL//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	alkB//dgkA//
yrfG_hslR	narH//
ytfQRT_yjfF	ybcF//
ytjB_lplA	ilvA//
znuCB	pdeR//
zraSR	
