# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgoD//
yfdX_frc_oxc_yfdVE	pphA//xdhC//nirB//
yfeCD	
yfeKS	
yfeYX	ybjG//
yffB_dapE_ypfN	pgaC//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	yliI//
yfiP_patZ	argC//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	gloA//
ygaXY	
ygaZH	rlmG//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	aes//pgpC//hemG//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	pnp//
yggX_mltC	gloA//
yggX_mltC_nupG	pcm//mhpF//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ulaE//asd//
ygiM_cca	kdsD//
ygjJK	alkA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ilvC//pgi//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	ileS//argB//panC//ldcA//lsrG//selA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pgpB//
yicJI	moeB//
yicR_rpmBG	
yicR_rpmBG_mutM	pdxA//
yidHGF	
yidKJ	
yieEF	rutD//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	hemN//rsmE//
yifNO	
yigGF	
yihLM	
yihPO	moaE//
yihUTS	aldA//ubiG//tdk//
yihVW	hcaE//
yihXY_dtd_yiiD	glyA//nadA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	ydiB//murD//sufS//astD//mrcB//efeB//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	frlD//rsmF//
yjiHG_iadA	ubiF//
yjiML	
yjiPQ	
yjiXA	psuG//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	truB//trmH//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	sucC//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	phnO//
ynfB_speG	narY//
ynfEFGH_dmsD	nudG//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	otsB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	leuC//
yqaE_kbp	
yqcC_truC_yqcA	coaE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	waaJ//tag//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	moeA//
yrbG_kdsDC_lptCAB	tesA//glcE//leuA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	yfcF//tktA//
yrfG_hslR	phnM//
ytfQRT_yjfF	tpiA//
ytjB_lplA	narG//
znuCB	thiG//
zraSR	
