# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabZ//
yfdX_frc_oxc_yfdVE	fabZ//trpE//yneH//
yfeCD	
yfeKS	
yfeYX	mltA//
yffB_dapE_ypfN	nfi//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	phnM//
yfiP_patZ	entF//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	hemG//
ygaXY	
ygaZH	ppa//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	pgpA//mgsA//narI//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	mutS//
yggX_mltC	argS//
yggX_mltC_nupG	allE//argK//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	acpS//xapA//
ygiM_cca	thiC//
ygjJK	maeA//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	carA//argF//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	pheS//kbl//murE//udk//valS//waaA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	pssA//
yicJI	ydfG//
yicR_rpmBG	
yicR_rpmBG_mutM	sodB//
yidHGF	
yidKJ	
yieEF	acs//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	waaO//scpB//
yifNO	
yigGF	
yihLM	
yihPO	rsmD//
yihUTS	hpt//trmD//dgoK//
yihVW	mtgA//
yihXY_dtd_yiiD	pgm//ybjG//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fadJ//nudB//tmcA//arnB//entD//nudC//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	rfaE//yicI//
yjiHG_iadA	gutQ//
yjiML	
yjiPQ	
yjiXA	folM//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	entH//dgcZ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	murA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	speB//
ynfB_speG	queC//
ynfEFGH_dmsD	tadA//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	nudI//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	glmU//
yqaE_kbp	
yqcC_truC_yqcA	fre//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	alr//tynA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rffH//
yrbG_kdsDC_lptCAB	yidA//cdd//trxB//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	glgP//frdD//
yrfG_hslR	narV//
ytfQRT_yjfF	yibQ//
ytjB_lplA	gcvH//
znuCB	rffG//
zraSR	
