# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argF//
yfaX_rhmD_yfaVU	amyA//
yfbUT	hycG//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	rffH//
yfdX_frc_oxc_yfdVE	rluD//aspA//can//
yfeCD	
yfeKS	
yfeYX	gltD//
yffB_dapE_ypfN	recR//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	cobC//
yfiP_patZ	gabT//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	birA//
ygaXY	
ygaZH	thiF//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	cheR//menH//yeiR//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	cyoE//
yggX_mltC	rffT//
yggX_mltC_nupG	dcm//waaY//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	ansB//rfbB//
ygiM_cca	fre//
ygjJK	srlD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	mocA//ydiO//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	atoA//dgoD//rluF//thrC//treC//murA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	nanA//
yicJI	hisI//
yicR_rpmBG	
yicR_rpmBG_mutM	speB//
yidHGF	
yidKJ	
yieEF	scpC//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	icd//hyuA//
yifNO	
yigGF	
yihLM	
yihPO	galU//
yihUTS	nudF//aroG//yigB//
yihVW	nrfD//
yihXY_dtd_yiiD	yfcF//ligB//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	yciA//speD//panC//ddlB//gcl//pgaD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	chbF//allE//
yjiHG_iadA	glgA//
yjiML	
yjiPQ	
yjiXA	otsA//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	cysI//malZ//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	ribD//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	preA//
ynfB_speG	gldA//
ynfEFGH_dmsD	glmM//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	cof//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	phnO//
yqaE_kbp	
yqcC_truC_yqcA	katG//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	gntK//hycB//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	rne//
yrbG_kdsDC_lptCAB	recR//etk//melA//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	accA//waaO//
yrfG_hslR	glk//
ytfQRT_yjfF	nrfD//
ytjB_lplA	yhhW//
znuCB	queG//
zraSR	
