# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygiF//
yfdONMLK	
yfdPQ	
yfdRST	murI//
yfdX_frc_oxc_yfdVE	cyoE//gatD//bacA//
yfeCD	
yfeKS	
yfeYX	ftnA//
yffB_dapE_ypfN	waaZ//
yffMN	
yffOP	
yffQR	
yfgHI	
yfhM_pbpC	ftsI//
yfiP_patZ	kbl//
yfiR_dgcN	
yfiR_dgcN_yfiB	
yfjPQ	
yfjR_ypjK_yfjST	
yfjXY_ypjJ_yfjZ_ypjF	
ygaVP	ribC//
ygaXY	
ygaZH	aldB//
ygbJK	
ygbLM	
ygcNOP	
ygcRQ	
ygeLK	
ygfB_pepP_ubiHI	aroC//purH//dhaL//
ygfK_ssnA	
ygfM_xdhD	
ygfTS	
yggDC	
yggSTU_rdgB_yggW	ubiG//
yggX_mltC	azoR//
yggX_mltC_nupG	rsmG//gatY//
yghED	
yghSR	
yghX_2X_1	
ygiF_glnE	fucK//fbp//
ygiM_cca	sgbU//
ygjJK	idnD//
yhaBC	
yhaKL	
yhaOM	
yhbE_obgE	
yhbTS	
yhbUV	
yhcAD_ychE_1	
yhdN_zntR	
yhdT_panF_prmA	ubiI//malZ//
yhdWXYZ	
yheO_tusDCB	
yheSTU	
yhfXW_php_yhfUTS	
yhfZY	
yhhZ_yrhA_insAB_6A_6B_6	
yhiI_rbbA_yhhJ	
yiaKLMNO_lyxK_sgbHUE	tyrS//yeiG//menE//eptB//glgA//tesA//
yiaWV	
yibIH	
yibN_grxC_secB_gpsA	mnmE//
yicJI	ldhA//
yicR_rpmBG	
yicR_rpmBG_mutM	preT//
yidHGF	
yidKJ	
yieEF	mnmG//
yieP_hsrA	
yifL_dapF_yigA_xerC_yigB	yqaB//frlD//
yifNO	
yigGF	
yihLM	
yihPO	fadK//
yihUTS	mepS//ydiO//ubiF//
yihVW	ruvB//
yihXY_dtd_yiiD	azoR//abgA//
yiiS_uspD	
yjbEFGH	
yjbFGH	
yjbLM	
yjbQR	
yjdIJ	
yjeF_tsaE_amiB_mutL_miaA_hfq_hflXKC	fkpB//ruvC//rbsD//sbcB//prpD//gatD//
yjeNO	
yjfIJ	
yjfKLMC	
yjgX_1X_2	
yjhBC	
yjhIHG	tsaE//hemE//
yjiHG_iadA	ppiA//
yjiML	
yjiPQ	
yjiXA	ydbC//
yjjB_dnaTC	
yjjB_dnaTC_yjjA	
yjjQ_bglJ	
yjjUV	
ykfA_yafZ	
ykfBF_yafX_ykfGH_yafW_ykfI	
ykfGH_yafW_ykfI	
ykfJ_prfH	
ykgEFG	
ykgMO	
ymcE_gnsA	
ymdB_clsC	yqjG//menF//
ymdE_ycdU	
ymfA_ycfZ	
ymfED	
ymfH_xisE_intE	
ymfTLMNR_beeE_jayE_ymfQ_ycfK_ymfS	
ymgA_ariR	
ymgGD	
ymgH_ycgI	
ymiA_yciX	
ymjC_mpaA	manA//
ynaA_lomR_1	
ynaK_ydaY	
ynbABCD	
yneHG	nrdD//
ynfB_speG	rnb//
ynfEFGH_dmsD	galE//
ynfO_ydfO	
yobA_yebZY	
yobB_exoX	
yobF_cspC	
yohJK	
ypdABC	
ypeA_yfeZ	
ypfJ_tmcA	napB//
yphCB	
yphFED	
ypjM_1M_2	
ypjM_3_yfjU	
yqaBA	malZ//
yqaE_kbp	
yqcC_truC_yqcA	cysE//
yqcE_ygcE	
yqeIJ	
yqgEF	
yqhD_dkgA	ttdA//pssA//
yqiJK	
yqjA_mzrA	
yqjCDEK	
yraIJK	
yrbG_kdsD	treC//
yrbG_kdsDC_lptCAB	bglB//nudC//folK//
yrbN_deaD	
yrdD_tsaC_aroE_yrdB	yniC//ycjG//
yrfG_hslR	tpiA//
ytfQRT_yjfF	fabH//
ytjB_lplA	sufS//
znuCB	galM//
zraSR	
