#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	b2913//b3394//b4513//rhmR//
go_0009239_6	b2374//b3127//b1873//b2277//b3577//b2483//bioD2//b2296//
go_0009240_6	b2587//
go_0009242_6	b3525//b1488//b0207//b2333//b3510//b0907//b0316//b4120//b4637//b1539//b0197//
go_0009243_7	b0962//
go_0009244_7	b4474//b0242//b3462//b3394//b3986//b2004//b3301//b4539//b4180//b1174//b2374//b2728//b1198//b2802//b3676//b2075//b3406//b0439//b1580//b3407//b2182//b0444//b2581//b0688//b2761//b0963//b1344//b1140//b0657//
go_0009245_6	b0008//b2061//b1623//b1489//b0177//b1188//b1580//rhmD//b3619//b3351//
go_0009246_6	b0170//b0827//b3907//b0593//b1062//b3891//b1663//b2753//b3653//
go_0009249_6	b3708//b1985//b4004//
go_0009250_7	b2774//b4301//b3413//
go_0009251_7	b2282//
go_0009252_7	b2362//b4550//b0085//b4265//b2976//b1819//b1895//b2976//b1197//b3609//b3318//b4026//b0942//b2029//b2334//b1210//b0423//b2920//b1430//hprR//b1892//b2715//b0425//b3623//b3972//b2663//b0973//b1392//b2098//b0795//b1104//
go_0009253_8	b1076//b3929//b0960//b4177//b1244//b2500//b2728//b0732//b3147//b0873//
go_0009254_8	b2975//b2995//b3386//b0174//b2136//b0406//b0153//b2314//b3772//b0082//
go_0009257_8	b2707//b0784//b2955//b1594//
go_0009263_6	b1497//b1435//b2040//b0081//
go_0009264_6	b4054//b2104//
go_0009265_7	b3499//
go_0009266_4	b2813//b0812//b0574//b0300//b3300//b3706//
go_0009267_5	b0513//b2151//b0998//b1967//
go_0009268_4	b3670//b0622//b1352//b4349//b3724//
go_0009271_4	b0733//b3996//b1253//
go_0009273_5	b0464//b2603//
go_0009290_6	b1651//b1006//
go_0009294_5	b2676//b0995//
go_0009297_6	b2938//b3882//b2557//b2810//b1082//b2801//b4024//b0650//b0323//b4245//b0027//b3706//b3251//b0172//
go_0009298_7	b1831//b3093//b4320//
go_0009305_7	b0090//
go_0009306_4	b4353//b3786//
go_0009311_5	b4237//
go_0009314_4	b4245//b3269//b4124//b2267//b3046//b2507//b3230//b2235//b0433//b3478//b2828//b0042//b4160//b3576//b0914//b2581//b3565//b1925//b1584//b3067//b3994//b2935//b0426//b4484//b3247//b2296//b1702//b2020//b3647//b1866//b4195//b2342//b3360//b1884//b2423//b2519//b4085//b2388//b0049//b2131//b3396//b0222//b0553//b3084//b4144//b0225//b4052//b2022//b3026//
go_0009372_5	b1025//b2665//b3704//
go_0009396_6	b0002//b3847//b0855//
go_0009398_7	b1564//
go_0009401_7	b1300//b3699//b3187//b3577//b1886//b3711//b2990//b1680//b0492//b2553//b2314//b1650//b4026//b0726//b4419//b3659//b3168//b0734//b4367//b0481//b1333//b3117//b3011//b0828//b2698//b1799//b3454//b3722//b2989//b0325//b1808//b3903//b2267//b1981//b0988//b1270//b2263//b4069//b3237//b3652//selU//b3719//b4304//b3633//b0808//b0935//b4120//b1805//b0042//b2307//b0127//b1594//
go_0009403_5	b0516//
go_0009405_4	b3105//b2905//b3528//
go_0009407_3	b0688//b2202//b2105//
go_0009408_4	b3311//b1123//b3410//b2276//b4160//b3087//b3131//b0166//b4243//b0029//b2068//b2800//b3365//b3668//b2628//b0576//b1324//b3095//b2519//b3605//b1709//b1959//b0113//b2386//b1084//b1912//b1334//b0727//b0213//b2821//b0681//b2896//b2529//b2347//b3357//b0214//b1118//b1237//b1245//b3518//b0160//b0717//b0065//b1885//b3365//b2294//b1296//b2310//b1913//b3091//b1472//b3584//b0553//
go_0009409_4	b2819//b2533//b0659//b3261//b0466//b1127//b0852//b3884//b0774//b1709//b4532//b2048//b0630//b1729//
go_0009410_4	b2910//
go_0009411_6	b3789//b1590//b0400//b1807//b1912//b3718//b4313//b4353//b2981//b3412//b2592//b2897//b3667//b1769//
go_0009416_5	b1279//b0097//
go_0009423_8	b1212//b1707//b2129//b3311//
go_0009432_5	b2828//b3121//b4666//b4350//b3478//b0438//b1463//b0010//b0751//b0659//b4123//b2819//b3130//b1918//b4098//b1306//b3885//b2566//b1872//b4365//b2281//b0238//
go_0009435_9	b3454//b0186//b1821//b2678//b0877//
go_0009436_6	b3710//b0231//b0953//b2718//
go_0009437_5	b1116//b0054//b1024//b3578//b1921//
go_0009438_5	b2497//
go_0009440_6	b0846//b3514//b0444//
go_0009442_7	b0931//b3063//b3997//b2435//b3125//
go_0009443_5	b0680//b0167//b0025//
go_0009446_6	b2202//b0758//
go_0009447_6	b0692//b0072//b2706//b2998//b1489//b0305//b2512//b1838//
go_0009450_6	b4025//b3626//b2906//b2295//
go_0009451_6	b3579//b0526//b3680//b1536//b4082//
go_0009593_4	b1444//
go_0009597_5	b0593//
go_0009636_4	b2010//b3319//b3516//b3135//b4339//b3256//b3613//b3462//b2009//
go_0009637_6	b3138//
go_0009651_5	b3309//b3839//b3564//
go_0009697_5	b0077//
go_0009758_2	b3654//
go_0009785_5	b0313//
go_0009970_6	b1215//b2014//b2541//
go_0009972_10	b3836//
go_0009992_5	b1615//b3579//b4024//b1378//
go_0010033_4	b0464//
go_0010038_5	b2577//b1638//
go_0010039_6	b0910//
go_0010041_7	b0795//b1430//b3908//b3578//b4267//b4389//
go_0010042_6	b3580//
go_0010043_6	b3935//b0983//b0766//b2971//
go_0010045_6	b1212//b0166//
go_0010106_6	b2559//
go_0010124_4	b4207//b2570//b3654//b2024//b1071//b1136//b4136//b4326//b0676//b1785//b0847//b3011//b2170//
go_0010133_7	b1723//
go_0010139_7	b4222//
go_0010165_6	b0099//hxpB//b1475//b0091//b0242//b0616//b4237//b3601//b0681//b2867//b2032//b0149//b0136//b3903//b2041//b0422//
go_0010212_5	b2938//b0940//b3631//rpnD//b2972//b1050//b0822//b2735//b0441//b4245//b2483//
go_0010226_6	b0036//
go_0010243_5	b1093//b3295//b0183//
go_0010272_6	b1473//b3258//b3556//b3553//
go_0010273_4	b0192//b0924//b0116//b3725//b1550//b1298//
go_0010312_3	b3528//
go_0010332_6	b0596//
go_0010350_6	b2528//b2947//
go_0010438_6	b1787//b4162//b0752//b3019//
go_0010447_5	b3811//b0141//b0638//b1104//b1552//b3651//b1257//b4467//b4510//b1511//b1386//
go_0010468_6	b4327//b3884//b1888//b1580//b3895//
go_0010498_6	b3204//
go_0010501_7	b0755//b2216//b1924//b3070//b2515//b1719//b1513//b4386//b3727//
go_0010557_7	insI1//
go_0010608_7	b2109//b3640//
go_0010628_7	b3071//b1764//b4041//
go_0010629_7	b4352//b0088//
go_0010676_7	b0737//
go_0010699_4	b1944//b2684//
go_0010810_5	b2233//b1575//
go_0010876_4	b2920//
go_0010911_5	b2584//
go_0010921_6	b3516//b3093//b0383//b4202//
go_0010951_8	b2601//b3080//
go_0010967_6	b0241//
go_0010974_7	b2218//
go_0012501_4	b3957//b0254//b2135//b1225//b4064//b2418//b4544//b2103//b0853//
go_0014070_5	b2107//b3228//
go_0015031_5	b4034//b1101//b3142//b3615//b1514//b2207//b4011//b1330//b2179//b3668//b3265//b2745//b0566//b1544//b2709//b0349//b1590//b2952//
go_0015074_6	b2631//b3895//b1042//b1827//b4086//b1807//b1438//
go_0015628_5	b1286//b3662//b0903//b0546//b3563//
go_0015670_6	b4279//
go_0015673_9	b1163//
go_0015675_9	b3081//
go_0015679_10	b2564//b4478//
go_0015682_8	b1271//b3941//
go_0015684_9	b1060//b4468//b4124//b0585//
go_0015685_8	b3165//b0239//b3191//b1284//b3974//b1748//
go_0015687_7	b1015//b1878//b2597//
go_0015688_6	b2411//b2242//b1886//b3497//
go_0015689_8	b3671//b1375//b3230//
go_0015691_9	b4120//b1753//
go_0015692_8	b0920//
go_0015693_9	b2311//
go_0015696_6	b3271//
go_0015698_7	b2393//
go_0015699_8	b0847//
go_0015700_8	b4288//b3543//
go_0015706_6	b0161//b3140//b1981//
go_0015707_6	b0797//b2095//b0486//yjgX//b2161//b1866//
go_0015709_6	b1882//
go_0015710_8	b1250//b2011//
go_0015712_7	b2748//
go_0015718_8	b0733//
go_0015721_7	b2266//b4041//
go_0015724_7	b2806//b1842//b2615//
go_0015726_8	b1753//
go_0015733_7	b3778//
go_0015734_6	b4034//b3401//b2500//
go_0015736_9	b2416//
go_0015739_7	b3651//
go_0015740_9	b1135//b4084//b0316//b1918//
go_0015741_10	b1661//qorA//
go_0015747_6	b0662//
go_0015748_6	b1737//
go_0015749_7	b4237//b2665//b3060//b1165//b2838//b1695//b0440//b1238//b0880//b1201//b3665//b2945//b3173//b2477//b2517//b2690//b1107//b4003//b2197//b2336//b4299//
go_0015751_9	b0535//b3894//b1441//
go_0015752_9	b1389//b2458//b0914//b1829//b3958//b2893//
go_0015753_9	b3230//b3901//b2888//
go_0015754_9	b2758//b2339//b4118//
go_0015755_9	b2438//b1621//b0221//b1421//b2980//b2542//b3232//
go_0015756_9	b1201//b1840//
go_0015757_9	b3345//b4251//b1104//b3222//b1300//b3241//b2767//
go_0015760_8	b0336//
go_0015761_9	b3091//b3119//b0152//
go_0015762_9	b3188//
go_0015764_7	b3953//b0693//b4394//b1176//
go_0015765_8	b0893//b2392//b3636//b2539//
go_0015767_9	b2663//b1023//b4474//b0110//
go_0015768_9	b3024//b3525//b1637//b2094//b0419//b1599//
go_0015769_9	b2368//
go_0015771_9	b3291//b1413//b4477//b4019//
go_0015772_7	b4371//b1476//b1463//b2843//
go_0015774_7	b0545//b1399//
go_0015778_7	b1828//
go_0015793_7	b0006//b0740//
go_0015794_7	b3480//b2203//b1410//b2679//b3952//
go_0015795_7	b0484//
go_0015796_7	b2074//b3653//b3665//b4070//
go_0015797_7	b3780//b0890//
go_0015803_7	b1225//b4237//b0328//b4171//b2347//b3986//
go_0015804_7	b0339//
go_0015806_6	rpnD//
go_0015807_7	b4084//b1410//b3794//b1241//b1191//b1763//
go_0015808_8	b4379//b2369//
go_0015809_7	b2276//
go_0015810_8	b1821//b0605//
go_0015811_7	b0369//b1116//b4355//b4174//b2796//
go_0015813_6	b2479//b3311//b2709//
go_0015814_7	b1882//
go_0015816_6	b3699//
go_0015817_7	b2103//
go_0015818_7	b4313//b3345//
go_0015820_7	b0086//b2738//b0182//b4219//b3052//
go_0015821_7	b2211//b0264//b2955//b3179//b4327//
go_0015822_7	b0856//
go_0015823_7	b4000//b2801//b3454//b1041//b2385//b1564//b1034//
go_0015824_7	b3303//b0325//
go_0015825_8	b3421//
go_0015826_7	b2763//b1838//b2257//
go_0015827_7	b3262//b1896//b4267//
go_0015828_7	b3878//b4153//
go_0015829_7	b2922//b4300//b0817//b4128//
go_0015830_7	b3424//b4290//b0138//
go_0015833_6	b3498//b1684//b3318//b1522//b4147//b0116//b3566//b4034//b1280//b1450//b4022//b2155//b3676//b2111//b0737//b4480//b1289//
go_0015834_7	b2284//b1472//b1270//b2666//b2296//
go_0015835_6	b0156//
go_0015836_7	b3842//b2109//b3701//
go_0015839_7	b2524//
go_0015846_6	b0445//b1728//
go_0015847_7	b1808//b2062//b3751//b3179//b1522//b2069//b4096//b3366//b2182//b3866//b1661//b0334//b2103//b1998//b3453//
go_0015848_7	b1080//b0806//b3648//
go_0015851_6	b2164//
go_0015853_8	b2511//b0912//
go_0015856_8	b3156//
go_0015857_6	b2568//b0718//
go_0015858_7	b2924//b2437//b0824//
go_0015860_7	b1302//b1830//
go_0015861_9	b3149//b0968//
go_0015862_9	b2022//b4476//
go_0015863_8	b0429//
go_0015864_8	b4481//
go_0015871_6	b2711//b2797//b3384//b4092//b2349//
go_0015878_6	b1729//
go_0015879_9	b3574//
go_0015882_7	b3676//b3072//b2838//
go_0015886_6	b3714//b2780//b0612//b2285//b3910//b1850//b1724//b2255//b4291//
go_0015887_7	b1603//
go_0015888_6	b3582//
go_0015889_6	b2256//b2619//b2845//b1735//b4314//b2923//b3321//
go_0015891_6	b0518//b0584//
go_0015906_6	b3900//b1800//b2820//
go_0015909_8	b4539//
go_0015912_8	b3839//
go_0015914_7	b1072//b4073//b3432//b3359//b1798//b0605//
go_0015920_7	b2442//b0146//b0677//b4349//b0417//b0053//b0602//b0072//b2078//
go_0015937_7	b3619//b2428//b1207//b0577//
go_0015940_6	b4179//b3209//
go_0015944_4	b3264//b0099//b2934//b2258//b0419//b0174//b0245//
go_0015949_5	b1819//b0106//b0207//b4014//b4029//b2415//b2601//b0341//b2712//b0241//b1021//b2661//b0341//b3375//b3360//b3869//b4480//b2990//b1246//b3296//
go_0015950_6	b0622//
go_0015951_7	b2840//b0649//
go_0015968_6	b0053//
go_0015969_8	b1025//b3424//
go_0015976_2	b0475//b1205//b1081//b1688//b0263//b4117//b2094//b4125//
go_0015986_7	b3521//b0727//b3148//
go_0015990_10	b4321//b2184//b1990//b1704//b0864//b3304//b0043//b0015//
go_0016024_7	b0533//
go_0016032_5	b0424//
go_0016036_6	b3243//b1048//b1719//b3974//b0566//b4053//
go_0016042_5	b0751//b2709//
go_0016052_5	b3451//b1112//b1535//b4015//
go_0016075_8	b3892//b4101//
go_0016078_8	b1719//
go_0016094_6	b0514//b3367//
go_0016226_5	b0608//b0428//b1711//b1501//b1059//b3621//b4386//b2536//b0325//b1165//b0022//b2493//b0827//b4239//b2354//b2374//b1011//
go_0016259_7	b0001//
go_0016260_8	b4142//b0726//b1902//
go_0016310_6	b0334//b3235//b0113//b0066//b3687//b3952//b4198//b1202//b0622//b3457//b0855//b0553//b3619//b2368//b3229//b1881//b3667//b1769//b3481//b1246//b1288//b2079//b0263//b4086//b1870//
go_0016311_6	b1684//b2431//b0856//b1186//b0504//b3493//b2405//b3594//b3783//b3191//b3624//b1992//b0792//b3869//b3943//b4363//b0177//b1540//b0355//b2912//b0170//b0296//b3813//b1662//b3959//b2557//b1297//b0483//b1265//b4241//b4304//b0612//b1735//b2916//hprS//b0603//b2315//b0254//b0731//b1885//b1350//b2503//b3156//b1634//b1776//
go_0016458_3	b2957//b1663//
go_0016485_6	b2517//b4470//b1807//b2159//b4018//
go_0016540_7	b3190//b2110//
go_0016579_7	b3403//
go_0016998_5	b0261//
go_0017001_5	b3008//
go_0017003_8	b4363//b3811//
go_0017004_7	b1955//b2582//b0589//b0693//b3577//b4346//b1890//
go_0017013_7	b0731//b3712//
go_0017038_6	b0118//b0316//b3197//
go_0017148_8	b0699//b2079//b2201//b0808//b1544//b3526//b2339//b2726//b0676//b0792//b3148//b4664//
go_0017189_7	b0426//
go_0017198_7	b4403//
go_0018012_8	b2567//
go_0018023_7	b0644//
go_0018063_8	b2358//b0353//
go_0018070_8	b3223//b4362//
go_0018104_8	b4559//b1301//b4041//b2177//b0237//b4357//b0294//b3250//
go_0018105_8	b3012//
go_0018106_8	b3493//b1488//b2943//b3429//b3026//b1314//b2215//b4403//b3985//b0820//b2673//b4083//b0840//b1135//b0480//b2835//b0367//b2143//b1183//b3363//b1905//b0196//b3632//b0768//b3395//b3847//b3708//b2610//b0058//
go_0018108_8	b2049//
go_0018117_8	b4323//
go_0018125_6	b0518//
go_0018131_6	b4374//
go_0018160_8	b3458//
go_0018206_8	b4025//
go_0018247_9	b2599//
go_0018283_6	b2624//b2634//
go_0018298_7	b0344//
go_0018307_7	b3752//
go_0018315_8	b2711//
go_0018339_9	b0639//b1011//
go_0018345_8	b1481//
go_0018364_6	b4073//b3745//
go_0018378_9	b1349//b0695//b1266//
go_0018393_10	b1415//b3130//
go_0018394_9	b0355//
go_0018410_8	b1185//
go_0018909_5	b3194//
go_0018937_4	b1960//
go_0019042_6	b3990//
go_0019068_6	b3740//b0767//
go_0019076_6	b0162//b2634//b3474//b0967//
go_0019217_7	b2780//
go_0019242_6	b0010//
go_0019243_7	b1292//b3870//b0942//b1370//b2686//b1002//b2992//b3226//b1341//b4101//b2634//b0421//b4355//b0754//b4304//b2538//b2958//b0303//b2750//b3903//b1487//b0417//b0679//b0998//
go_0019249_6	b1204//
go_0019250_7	b3912//
go_0019262_6	b2180//b2640//b3942//b2425//b0651//b1103//b2666//
go_0019264_7	b4428//
go_0019272_9	b3564//b2748//
go_0019284_7	b3842//b0941//b1738//
go_0019285_5	b1250//b2828//
go_0019288_6	b2009//b3279//b3778//b4316//
go_0019290_5	b0529//
go_0019292_8	b3572//
go_0019294_6	b2177//b4350//b0191//b0403//
go_0019299_6	b0508//
go_0019301_7	b3017//b2438//b3438//b4309//b2376//b1197//b1392//
go_0019303_7	b0375//b2701//
go_0019305_7	b1620//
go_0019309_7	b3704//
go_0019316_8	b1468//b1976//b0463//
go_0019318_5	b2029//
go_0019323_6	b2393//b1160//b2301//b1191//b2182//b1010//b4174//b1060//b3601//
go_0019324_6	b0594//b3311//b0149//b1424//b4419//
go_0019343_8	b3657//
go_0019344_7	b3486//b3265//b1015//
go_0019346_7	b0587//
go_0019353_8	msrP//b3430//b0084//b3462//
go_0019354_6	b1599//
go_0019379_5	b1918//
go_0019380_6	b2515//b4065//b2688//b1434//b0677//
go_0019388_7	b2748//
go_0019391_6	b0506//
go_0019394_7	b3179//
go_0019395_5	b3137//b2147//
go_0019404_8	b2890//b1891//
go_0019413_6	b0269//b1089//
go_0019419_4	b1994//
go_0019427_7	b1421//
go_0019430_5	b2711//b0752//b3621//
go_0019432_7	b2263//
go_0019439_5	b3073//b0480//
go_0019447_8	b2196//
go_0019450_9	b3542//
go_0019464_7	b2665//b0336//b0614//b3339//
go_0019480_4	b1743//
go_0019509_7	b3137//
go_0019516_4	b3196//b2793//
go_0019521_6	b1045//b2318//
go_0019542_6	b1650//
go_0019545_6	b3136//
go_0019546_9	b0805//b3460//b1826//b1092//
go_0019563_7	b1885//b2975//b3936//b0723//
go_0019568_7	b0040//b2570//b0094//
go_0019569_7	b2032//b2389//b1352//
go_0019571_8	b3519//b0742//b2525//
go_0019572_8	b3114//
go_0019584_7	insI1//
go_0019588_7	b1655//b2365//
go_0019592_8	b2262//
go_0019595_8	b0597//
go_0019607_6	b3699//b3244//
go_0019622_6	b3192//b1410//b4203//
go_0019629_7	b3812//b1477//
go_0019632_5	b2502//b2821//b3844//b2215//
go_0019634_5	b2752//
go_0019645_6	b1831//b4380//b3145//b3394//arcC//b4320//b0192//b3547//
go_0019646_6	b1166//b3018//b2616//b3623//b1274//b0072//b2373//b0767//b3336//
go_0019664_6	b4467//b4214//
go_0019665_5	b1122//
go_0019673_6	b0910//
go_0019676_3	b2208//b3268//
go_0019677_8	b1187//
go_0019679_7	b1253//b2738//b0350//
go_0019686_6	b0959//
go_0019698_7	b1059//b2835//b3040//b2675//rpnD//b1200//
go_0019700_6	b0657//b1066//b1081//b0424//b3592//b0618//b1293//b2262//
go_0019740_2	b3845//b3845//b0003//b2496//b0020//b2020//b1344//
go_0019752_6	b1592//
go_0019805_6	b2576//
go_0019835_3	b0596//b0806//b1745//b1285//b3205//
go_0019852_5	b1609//b1236//b2767//
go_0019854_6	b3806//b1166//
go_0019856_7	b1660//b0357//
go_0019858_7	b0653//
go_0019859_7	b0937//
go_0019877_6	b1499//b0770//qorA//
go_0019878_9	b3642//b2500//
go_0019935_6	b2702//b3365//
go_0019985_8	b0737//b0131//b3634//
go_0019988_7	b2799//
go_0022417_4	b2620//b0598//
go_0022610_2	b3412//b0793//b3118//
go_0022611_3	b0158//b3915//b1677//b3748//b0284//b2739//
go_0022900_4	b4415//b4258//b2905//
go_0022904_5	b2427//b3957//b2704//b2179//b2916//
go_0023014_4	b2870//b3842//b0927//b1200//b2393//b3517//b3067//b2339//b1281//b4280//b2458//b2103//b1389//b0197//b1266//b0497//b4085//b2294//b2154//b1601//b3664//b2774//b0124//b4528//b2133//b1734//b3665//b1413//b4705//b2049//b0902//b3477//b0864//
go_0030001_7	b0240//b1324//yjgX//
go_0030007_8	b0441//
go_0030026_9	b3460//
go_0030091_6	b0048//yjgX//b2310//b3172//b4029//b1853//b1119//b1174//b0939//b4147//
go_0030153_5	b2058//b1175//
go_0030162_7	b0270//b0516//
go_0030163_5	b4040//b3842//b3558//
go_0030244_9	b2147//
go_0030258_5	b0002//b1249//
go_0030260_7	b0614//
go_0030261_8	b3732//
go_0030307_6	b2243//
go_0030308_6	b4662//b2261//b1209//b3603//b0759//
go_0030388_5	b2755//b0019//b0294//
go_0030488_6	b4391//b2201//b0995//b4460//b0195//b2837//b1588//b0896//b1429//b3901//b2828//b1693//b0303//
go_0030490_10	b2627//b0069//b4379//
go_0030497_7	b0847//b1337//
go_0030541_4	b0590//b0781//
go_0030573_6	b0101//
go_0030632_8	b4141//b1025//b2277//b3635//
go_0030641_8	b4291//b2308//
go_0030643_8	b3826//
go_0030961_9	b0693//
go_0030980_7	b0369//b4221//b1279//
go_0031118_8	b2409//
go_0031119_8	b1767//b1782//b1576//b3386//b3183//b2476//
go_0031125_10	b1334//
go_0031162_5	b1246//b4354//
go_0031167_6	b4052//b0907//b0198//b0196//b0614//b3047//
go_0031280_6	b2126//
go_0031297_7	b0172//
go_0031342_5	b3580//
go_0031346_7	b2526//
go_0031365_7	b3309//
go_0031400_8	b0085//
go_0031439_9	b1662//
go_0031460_7	b1024//b4117//b4665//b3510//b0375//b1314//b0448//b2831//b2690//b1790//b2082//b2277//
go_0031554_7	b3360//
go_0031555_8	b0492//b3718//b2964//b3657//
go_0031556_9	b0184//b1009//
go_0031564_8	b2834//b0002//b4359//b0555//b3166//b3266//b2068//b2715//b0410//b3071//b1244//b0462//b3791//
go_0031638_7	b2209//
go_0031648_5	b3395//
go_0031669_5	b1801//b3732//b2787//
go_0031670_5	b0829//
go_0032025_6	b3850//b1887//
go_0032026_6	b3024//
go_0032049_8	b3564//b3559//b4687//
go_0032055_6	b0051//
go_0032091_6	b4064//
go_0032147_9	b0622//
go_0032150_8	b3394//
go_0032194_8	b1654//
go_0032196_3	b1864//b1861//b1388//b1800//b3566//b4076//
go_0032238_6	b4544//
go_0032259_3	b3426//b1074//b3974//b1076//b2023//b1488//b3967//
go_0032261_6	b0957//
go_0032263_7	b1976//b1014//
go_0032264_7	b3252//b3980//
go_0032265_7	b3219//
go_0032272_7	b0448//b0038//
go_0032297_10	b3683//b4388//b4033//
go_0032298_10	b0839//b2165//
go_0032324_6	b3511//b0418//b3125//
go_0032329_7	msrQ//b0842//
go_0032359_7	b3216//b1913//b4485//
go_0032412_6	b3850//
go_0032413_6	b3056//
go_0032414_6	b2479//b0096//
go_0032445_10	b1913//b0330//b2383//b2557//b3053//
go_0032462_7	b0983//
go_0032466_7	b2502//
go_0032467_7	b4098//
go_0032506_4	b0812//
go_0032508_8	b3241//b2364//b2523//b1376//b0001//b0959//b1576//b0649//b3384//b1186//
go_0032774_6	b1180//
go_0032775_6	b0556//b1584//b1620//
go_0032781_7	b2242//b0082//b2733//
go_0032784_8	b1116//b3459//
go_0032790_6	b3166//b1885//
go_0032885_7	b1748//
go_0032951_8	b0620//
go_0032955_6	b2821//b1870//
go_0032973_7	b0862//
go_0032978_7	b0750//b4302//b2163//b2952//
go_0033014_6	b3256//b4245//
go_0033051_5	b0214//
go_0033120_8	b2292//
go_0033194_5	b1782//b0915//b3479//b3835//
go_0033195_5	insI3//
go_0033212_10	b1686//b1737//b2765//
go_0033214_11	b1987//b0831//
go_0033228_8	b1319//b0465//b0479//b1876//
go_0033317_7	b4359//b1175//b0594//b2571//
go_0033320_6	b4361//
go_0033345_8	b3260//
go_0033353_5	b3240//
go_0033359_7	b1733//b3502//
go_0033384_6	b2784//
go_0033388_7	b0427//
go_0033477_5	b3710//
go_0033499_8	b3836//b3558//b0443//b0610//b3664//b0418//b2246//
go_0033518_6	b1833//
go_0033539_7	b3615//b1111//b4403//
go_0033542_7	b3391//
go_0033543_8	b3685//
go_0033567_6	b4169//
go_0033585_7	b1234//b1127//
go_0033611_8	b0356//
go_0033683_7	b0445//
go_0034194_8	b3697//b3982//b0718//
go_0034195_8	b0064//
go_0034198_6	b1654//b1990//b3310//
go_0034203_6	b3708//
go_0034204_5	b2818//b3261//
go_0034213_6	b2282//
go_0034214_7	b2306//b4291//b3238//b4409//
go_0034219_6	b2564//b2157//b0635//b1563//b1263//b1851//b2611//b1445//b4662//b2871//b1352//b1729//b4327//b3924//b0738//b4192//b0486//b1296//b1007//b0802//insI1//b2674//b2509//b3476//b0742//b2235//b1473//b2525//b1590//b1270//b0890//b0423//b2037//b0084//b3735//b0757//b3116//b1058//b4067//b2683//b3941//b4290//b3994//b4327//b3404//b4298//b2501//b1791//b0692//b3749//b3126//b3900//b3684//b3567//b4058//b2724//b3789//
go_0034220_6	b2689//b0091//b0811//b2196//b3939//b0462//b0981//b1186//b3149//b4386//
go_0034224_6	b1465//b2053//
go_0034227_8	b2882//
go_0034258_8	b0605//
go_0034260_5	b4046//
go_0034289_7	b0611//
go_0034337_3	b4565//b2431//
go_0034355_7	b1709//b2843//b3965//b3082//
go_0034401_5	b3863//
go_0034414_9	b0902//
go_0034421_8	b2108//
go_0034470_8	b1288//
go_0034552_7	b1783//
go_0034599_5	b3256//b3772//b1761//b0681//b1896//b0718//b4152//b2699//b2338//b0722//b3204//
go_0034605_5	b0864//b2369//b2316//b4375//b0127//b2253//b3673//b4018//b1858//
go_0034614_6	b1951//b0177//
go_0034620_6	b0348//b3959//b4149//b1336//
go_0034628_9	b0305//b4100//b1413//b3249//b3389//
go_0034635_6	b2164//
go_0034644_7	b3577//b1236//
go_0034661_7	b3355//
go_0034775_7	b3251//b2831//b1303//b2688//b3520//
go_0034983_9	b0795//b0622//
go_0035235_6	b0405//b2107//b2996//b1865//
go_0035307_9	b1540//
go_0035335_8	b3295//b0141//b3624//
go_0035344_8	b4299//b0061//
go_0035350_6	b1892//
go_0035429_8	b3393//b1096//b3331//b4130//b1838//b4361//
go_0035433_7	b0634//
go_0035434_9	b0695//
go_0035435_9	b3229//b1025//b1692//b0490//b3566//b3894//b1159//b3009//b0797//
go_0035442_7	b1540//b3567//b4173//b0528//b3235//b1879//b1328//b3871//b3479//b3588//b2750//
go_0035443_7	b4115//b0925//b0242//
go_0035444_9	b3095//b2042//b1206//b4510//b0140//b4318//b2336//
go_0035461_6	b2579//b1805//
go_0035524_8	b1688//
go_0035552_6	b3095//
go_0035553_6	b3129//
go_0035556_4	b0778//
go_0035600_8	b0907//
go_0035672_6	b1692//b0731//b3478//b3023//
go_0035725_9	b3503//b4306//b1612//b3223//b3736//b0022//
go_0035784_9	b3152//
go_0035864_6	b2777//
go_0035873_8	b0353//b4019//
go_0035999_5	b3298//b4191//b0139//b2290//
go_0036001_7	b0819//
go_0036047_9	b2236//
go_0036049_9	b2567//
go_0036088_6	b3414//
go_0036104_6	b0879//b4198//
go_0036172_6	b4153//
go_0036214_3	b3747//
go_0036265_6	b2202//b2724//
go_0036289_9	b2399//b3826//
go_0036448_6	b4173//b4154//b1185//
go_0036460_5	b0260//b0054//b3697//b3551//b1344//b3522//
go_0036506_5	b1694//
go_0036525_7	b0857//
go_0038083_9	b4380//b4474//b0408//b1945//b0294//
go_0040033_9	b1133//
go_0042026_4	b1329//b0640//b1619//b2780//b0781//b2312//b0069//b3061//b3780//
go_0042126_5	b1307//b2802//
go_0042128_5	rhmD//b4094//
go_0042150_7	b2871//b2662//b2327//
go_0042157_5	b0415//
go_0042158_6	b2785//b2067//
go_0042177_7	b2451//b2952//b0918//
go_0042182_5	b2422//
go_0042219_6	b0504//
go_0042245_7	b3146//b1544//b1062//
go_0042254_5	b2683//b0867//b1060//b4149//b1072//b4239//b3121//
go_0042255_6	b2365//b0518//
go_0042274_5	b4084//b1985//b2234//b2242//
go_0042304_7	b4041//
go_0042351_7	b3540//
go_0042355_8	insI1//b0594//b1074//b2129//arcC//hxpB//
go_0042371_7	b0284//
go_0042413_6	b1386//b2217//b1293//b2354//
