#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:44 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/gos_bnum.txt
go_0000018_7	srkA//b0728//b2762//b3437//
go_0009239_6	b4119//b1093//b4078//b3256//b2718//b0900//b3963//b2919//
go_0009240_6	b0019//
go_0009242_6	b2791//b2135//b0755//b2801//b0170//b2898//b1506//b1851//b2946//b3447//hprR//
go_0009243_7	b4016//
go_0009244_7	b0741//b0980//b2281//b3794//b3847//b1525//b3210//b2105//b3594//b2837//b1779//b0528//b1635//b2901//b0378//b0009//b0639//b3479//b0793//b3936//b2392//b1638//b0574//b3034//b4046//b2178//b1246//b1921//b2918//
go_0009245_6	b2138//b3428//b1682//b1711//b3668//b0238//b1360//b2949//maoP//b2147//
go_0009246_6	b2109//b2563//b0784//bioP//b3281//b0353//b1597//b0945//b0068//
go_0009249_6	b1775//b1206//b2714//
go_0009250_7	b0828//b2383//b0110//
go_0009251_7	b2058//
go_0009252_7	b4191//b2383//b3005//b4586//b3225//b3229//b3213//b3541//b4255//b4173//b2411//b4386//b3752//b1293//b3650//b3727//b3980//b0729//b1840//b3714//b2240//b0473//b3124//b0077//b0793//b4474//b4265//b2009//b3497//b1829//b2138//
go_0009253_8	b4114//b0340//b0345//b0135//b1539//b2511//arcC//b2761//b3838//b0435//
go_0009254_8	b1985//b3502//b1100//b0947//b3140//b3805//b3339//b0607//b0583//b2476//
go_0009257_8	b3075//b0988//b2211//b1280//
go_0009263_6	b2024//b2255//b3941//b2387//
go_0009264_6	b1058//b2206//
go_0009265_7	b0030//
go_0009266_4	b4349//b3813//b3355//b2324//b3643//b0699//
go_0009267_5	b3192//b3187//b0975//b1343//
go_0009268_4	b0369//b1216//b2871//b1349//b2512//
go_0009271_4	b4550//b2303//b3811//
go_0009273_5	b1342//b2568//
go_0009290_6	b0491//b2757//
go_0009294_5	b3634//b1438//
go_0009297_6	b4074//b1978//b2842//b2786//b1891//b2752//b0693//b0167//b3121//b3564//b2741//b0591//b1881//b4305//
go_0009298_7	b1238//b1313//b2417//
go_0009305_7	b2842//
go_0009306_4	b1592//b2477//
go_0009311_5	b0862//
go_0009314_4	b3640//b3934//b3710//b0693//b4085//b4213//b2673//b3651//rhmR//b3201//b1738//b0508//b2185//b1745//b3510//b3113//b3206//b1176//b1679//b3321//b2163//b3376//b3800//b2754//b0403//b1686//b0595//b0874//b2701//b2998//b2818//b3126//b1853//b0476//b3542//b3251//b2429//b1819//b4240//b2563//b4152//b2798//b0756//b1224//b1864//b1807//b3582//b4322//b0002//
go_0009372_5	b1709//b0476//b0590//
go_0009396_6	b1507//b2995//b2429//
go_0009398_7	qorA//
go_0009401_7	b1857//b1512//b2688//b3250//b3582//b1347//b3824//b0798//b1890//b4235//b0521//b4320//b0900//b0149//b0273//b4072//b1790//b3834//b0444//b1512//b2028//b1300//b4117//b1702//b4142//b3355//b0797//b0659//b3770//b2516//b1174//b0437//b1210//b3345//b0758//b3062//b0451//b3155//b3479//b0074//b3901//b3137//b4474//b2042//b3612//b3905//b1037//b3141//b1378//b2754//b0577//b0437//
go_0009403_5	b3132//
go_0009405_4	b4018//b0810//b2381//
go_0009407_3	b3407//b1399//b2040//
go_0009408_4	b1073//b4220//b4550//b0330//b4415//b3613//b0401//b1661//b0555//b2110//b4155//b2211//msrP//b0603//b2748//b1767//b3067//b3672//b3149//b3972//b2067//b3612//b2739//b2630//b0045//b2545//b1944//b2068//b0819//b4035//b4304//b3063//b3930//b3780//b1421//b0824//b3183//b0430//b2497//b2076//b1045//b2960//b3621//b3743//b2924//b0449//b1468//b3908//b3857//b3521//b3375//b3453//b1588//
go_0009409_4	b2183//b1007//b1645//b0393//b0177//b0094//b0887//b1635//b1112//b2180//b3743//b3980//b0197//b4346//
go_0009410_4	b1447//
go_0009411_6	arcC//b2011//b1260//b0829//b4267//b3311//b4267//b0436//b2567//b4071//b1116//b3625//b0106//b0974//
go_0009416_5	b0168//b4003//
go_0009423_8	b1478//b0601//b0363//b3812//
go_0009432_5	b1783//b1738//b3566//b0376//b0161//b0490//bioD1//b1712//b2416//b0870//b3189//b1054//b3064//b2821//b3715//b1953//b3061//b0621//b2842//b2208//b2140//b1090//
go_0009435_9	b1199//b2569//b2803//b1780//b0592//
go_0009436_6	b1738//b0355//b3936//b4668//
go_0009437_5	b0478//b0927//b3989//b3571//b0430//
go_0009438_5	b2268//
go_0009440_6	b4064//b2663//b4133//
go_0009442_7	b0331//b3291//b2248//b3403//b3176//
go_0009443_5	b0152//b3831//b0036//
go_0009446_6	b2232//b0622//
go_0009447_6	b4119//b2545//b0696//b4189//b2038//insI1//b3730//b1729//
go_0009450_6	b3464//b1174//b1853//b1830//
go_0009451_6	b4209//b2077//b0058//b3204//b1592//
go_0009593_4	b0891//
go_0009597_5	b2553//
go_0009636_4	b3238//b3731//b0530//b0383//b1635//b1039//b3686//b0914//b3666//
go_0009637_6	b0430//
go_0009651_5	b2458//b2232//b0532//
go_0009697_5	b1822//
go_0009758_2	b2421//
go_0009785_5	b1920//
go_0009970_6	b2414//b0058//b1109//
go_0009972_10	b2748//
go_0009992_5	b3742//b4484//b1693//b4314//
go_0010033_4	b1642//
go_0010038_5	b2575//b0820//
go_0010039_6	b3206//
go_0010041_7	b3118//b2937//b2918//b1441//b1404//b3769//
go_0010042_6	b3729//
go_0010043_6	b3806//b2842//b2996//b3907//
go_0010045_6	b0504//b1071//
go_0010106_6	b1790//
go_0010124_4	b3387//b0641//b1080//b0171//b3515//b3137//b4170//b3846//b3068//b2197//b2515//b2476//b3651//
go_0010133_7	b3071//
go_0010139_7	b1682//
go_0010165_6	b3165//b2153//b0573//b0861//b1116//b0316//b4015//b1878//b1642//b0591//hexR//b4299//b0526//b2364//b3396//b1769//
go_0010212_5	b4022//b2570//b1623//b0272//b0593//b0958//b1340//b1482//b4321//b4092//b1683//
go_0010226_6	b3635//
go_0010243_5	b3645//b1625//b2456//
go_0010272_6	b2521//b0096//b2399//b3025//
go_0010273_4	b1301//b2631//b0479//b2131//b0723//b1497//
go_0010312_3	b1104//
go_0010332_6	b2734//
go_0010350_6	b3318//b0386//
go_0010438_6	b3945//b2788//b2810//b1206//
go_0010447_5	b1338//b0401//b1260//b4240//b1178//b0657//b3249//b0015//b0612//b4173//b4379//
go_0010468_6	b3902//b4309//b4241//b0340//b0945//
go_0010498_6	b3806//
go_0010501_7	b3986//b1375//b0915//b0804//b0732//b3512//b3950//b0571//b3591//
go_0010557_7	b1512//
go_0010608_7	b0487//b3666//
go_0010628_7	b1859//b2287//b0586//
go_0010629_7	b4081//b3347//
go_0010676_7	xisR//
go_0010699_4	b2496//b3571//
go_0010810_5	b0425//b2492//
go_0010876_4	b3423//
go_0010911_5	b3180//
go_0010921_6	b3343//b3300//b0838//b1588//
go_0010951_8	b0067//b3361//
go_0010967_6	b1413//
go_0010974_7	b1058//
go_0012501_4	b2744//b3994//b0598//b1291//rhmD//b2297//b0597//b1349//b1854//
go_0014070_5	b2315//b2511//
go_0015031_5	b1284//b0813//b2218//b0931//b2808//b0941//b3185//b3742//b0931//b4075//b3368//b0932//b0462//b0046//b2943//b3134//b3793//b3684//
go_0015074_6	b1618//b0924//b3080//b0599//b3990//b4220//b2133//
go_0015628_5	b0973//b2367//b0320//b0487//b1422//
go_0015670_6	b2177//
go_0015673_9	b0893//
go_0015675_9	b2519//
go_0015679_10	b2498//b3831//
go_0015682_8	b0215//b1379//
go_0015684_9	b0755//b4290//b1247//b2882//
go_0015685_8	b0022//b2675//b3727//b0176//b3934//b4359//
go_0015687_7	b3515//b2574//b4393//
go_0015688_6	b0589//b3428//b4339//b0723//
go_0015689_8	b3393//b1749//b2316//
go_0015691_9	b3577//b0733//
go_0015692_8	b0946//
go_0015693_9	b3641//
go_0015696_6	b3996//
go_0015698_7	b2267//
go_0015699_8	b1276//
go_0015700_8	b4464//b0424//
go_0015706_6	b2843//b4366//b1809//
go_0015707_6	b2706//b0943//b2306//b0170//b0068//b1270//
go_0015709_6	b3931//
go_0015710_8	b1182//b3832//
go_0015712_7	b2327//
go_0015718_8	b0956//
go_0015721_7	b0601//b1739//
go_0015724_7	b1010//b2038//b0237//
go_0015726_8	b0927//
go_0015733_7	b3465//
go_0015734_6	b1130//b3838//b1987//
go_0015736_9	b3546//
go_0015739_7	b3747//
go_0015740_9	b0578//b3725//b4279//b1430//
go_0015741_10	b1554//b4613//
go_0015747_6	b3399//
go_0015748_6	b3707//
go_0015749_7	b2877//b0033//b4240//b2525//b3364//b2789//b2458//b3066//b4033//b3783//b2469//b1638//b0695//b3607//b3943//b2782//b3881//b1499//b0832//b3752//b0638//
go_0015751_9	b0120//b1081//b0139//
go_0015752_9	b4086//b0336//b2208//b1493//b2519//b4321//
go_0015753_9	b3774//b3715//b1870//
go_0015754_9	b3359//b3264//msrQ//
go_0015755_9	b2829//b0698//b2421//b2659//b2157//b0831//b1025//
go_0015756_9	b4025//b3053//
go_0015757_9	b3702//b1496//b1165//b2556//b3813//b0270//b1990//
go_0015760_8	b3041//
go_0015761_9	b2022//b3021//b3843//
go_0015762_9	b1413//
go_0015764_7	b0034//b3169//b1599//b0839//
go_0015765_8	b0903//rpnC//b3728//b3528//
go_0015767_9	b3189//b3268//b2179//bioD1//
go_0015768_9	b0073//b2211//b3566//b2870//b1326//b0131//
go_0015769_9	b4559//
go_0015771_9	b3164//b0842//b2476//b2930//
go_0015772_7	b0576//b2021//b1015//b4391//
go_0015774_7	b2183//b4320//
go_0015778_7	b4153//
go_0015793_7	b4484//b3310//
go_0015794_7	b3844//b2510//b2770//b0480//b2017//
go_0015795_7	b4125//
go_0015796_7	b2069//b2136//b4209//b1514//
go_0015797_7	b3657//b2727//
go_0015803_7	b2017//b0620//b2760//b3615//rpnD//b1410//
go_0015804_7	b3543//
go_0015806_6	b1848//
go_0015807_7	b2108//b1493//b2135//b0634//b1622//b3647//
go_0015808_8	b0920//b3417//
go_0015809_7	b1741//
go_0015810_8	insI3//b0512//
go_0015811_7	b3895//b3415//b2068//b4557//b1611//
go_0015813_6	b3707//b2456//b4139//
go_0015814_7	b1680//
go_0015816_6	b1832//
go_0015817_7	b1042//
go_0015818_7	b3880//b1276//
go_0015820_7	b0346//b2501//b2323//b0649//b3081//
go_0015821_7	b4682//b0905//b2834//b1320//b0960//
go_0015822_7	b1658//
go_0015823_7	b2508//b3212//b4086//b0083//b2456//b2532//b4062//
go_0015824_7	b3580//b2791//
go_0015825_8	b1920//
go_0015826_7	b3319//b2224//b2808//
go_0015827_7	b1386//b1714//b1393//
go_0015828_7	b4087//b1122//
go_0015829_7	b4000//b2297//b2069//b3958//
go_0015830_7	b0627//b1660//b1515//
go_0015833_6	b3050//b3252//b1281//b0070//b2092//b2888//b1973//b2929//b3237//b2413//b3457//b2014//b3462//b4222//b1093//b3740//b2366//
go_0015834_7	b0630//b4111//b0564//b2405//b2961//
go_0015835_6	b0514//
go_0015836_7	b4201//b1439//b1531//
go_0015839_7	b3700//
go_0015846_6	b3583//b0064//
go_0015847_7	b2381//b2341//b1602//b3707//b3230//b1042//b1827//b0125//b2425//b1329//b2819//b1334//b3305//b4403//b1638//
go_0015848_7	b2095//b0633//b4377//
go_0015851_6	b3887//
go_0015853_8	b0507//b0195//
go_0015856_8	b0932//
go_0015857_6	b1224//b4372//
go_0015858_7	b0348//b3957//b1226//
go_0015860_7	b2366//b4260//
go_0015861_9	b0809//b3615//
go_0015862_9	b0997//b0895//
go_0015863_8	b4460//
go_0015864_8	b3458//
go_0015871_6	b1025//b3355//b3431//b1526//b0611//
go_0015878_6	b1852//
go_0015879_9	b3029//
go_0015882_7	b3469//b3778//b2507//
go_0015886_6	b2113//b2195//b3236//b2330//b3308//b1833//b3738//b3993//b0679//
go_0015887_7	b0675//
go_0015888_6	b2285//
go_0015889_6	b3832//b2616//b1329//b2821//b2701//ftp//b1926//
go_0015891_6	b0607//b3391//
go_0015906_6	b3939//rpnA//b2285//
go_0015909_8	b1693//
go_0015912_8	b2565//
go_0015914_7	b0774//b0154//b4039//b1688//b2865//b3729//
go_0015920_7	b3040//b2296//b0256//b3620//b0604//b0294//b3689//b3713//b0344//
go_0015937_7	b2682//b2690//b1987//b0195//
go_0015940_6	b4478//b2806//
go_0015944_4	b1817//b2925//b4613//b1209//b4142//b0089//b3295//
go_0015949_5	b4160//b4353//b2835//b0880//b0314//b3168//b0882//b4018//b4033//b3693//b0492//b3543//b2587//b3926//b2451//b2870//b0642//b1074//b1926//b3749//
go_0015950_6	b3165//
go_0015951_7	b1783//b3319//
go_0015968_6	b1186//
go_0015969_8	b3916//b2553//
go_0015976_2	b1743//b3822//b3353//b1609//insI3//b1210//b3984//b0112//
go_0015986_7	b4421//b0198//b1296//
go_0015990_10	b1174//b2042//b1385//b3624//b2474//b2574//b0692//b0263//
go_0016024_7	b2399//
go_0016032_5	b0330//
go_0016036_6	b2312//b3442//b3343//b1174//b1924//b3572//
go_0016042_5	b4058//b3114//
go_0016052_5	b3594//b2169//b3117//b1713//
go_0016075_8	b3143//b0998//
go_0016078_8	b1733//
go_0016094_6	glsA2//b3892//
go_0016226_5	b4171//b3119//b3164//b2525//b1876//b2812//b4115//b4290//b0575//b1920//b1842//b3433//b3459//b2057//b0726//b2717//b1695//
go_0016259_7	b3304//
go_0016260_8	b1696//b0330//b1062//
go_0016310_6	b2533//b0133//b0438//b3342//b2758//b4300//b1410//b1091//b0077//b0273//b0237//b2027//b3349//b3909//b3032//b1440//b4363//b2946//b4557//b4016//b0602//b2828//b4409//b0535//b3408//
go_0016311_6	b2835//b4062//b3127//b0731//b2019//b3673//b2143//b0771//b2540//b2306//b3730//b2146//b3515//b3775//b1973//b1622//b0490//b3185//b1748//b0014//b2093//b2576//b2294//b3540//b3205//b3319//b3806//b2628//b4705//b1493//b4213//b3682//b2392//b0931//b1924//b2240//b1194//b3320//b1210//b3996//b3477//b2993//b4311//b1262//b0953//
go_0016458_3	b0875//b0340//
go_0016485_6	b2742//b1732//b2091//b1109//b2387//
go_0016540_7	b0612//b1174//
go_0016579_7	b1677//
go_0016998_5	b1252//
go_0017001_5	b2414//
go_0017003_8	b2742//b0556//
go_0017004_7	b3690//b3258//b0109//b3612//b2218//b2800//b0133//
go_0017013_7	b2096//b3835//
go_0017038_6	b0766//b3125//b2496//
go_0017148_8	b4079//b1807//b4280//b2075//rhmD//b0103//b3634//b1389//b3392//b2066//b2800//b3622//
go_0017189_7	b3652//
go_0017198_7	b2796//
go_0018012_8	b2157//
go_0018023_7	b3481//
go_0018063_8	b1682//b2414//
go_0018070_8	b2232//b4468//
go_0018104_8	b3791//b3493//b3721//b2554//b3632//b1782//b3682//b3345//
go_0018105_8	b2296//
go_0018106_8	b1071//b1049//b3833//b0303//b3512//b0731//b1831//b2981//b3565//b2179//b3903//b1072//b1392//b3221//b0347//arcC//b1882//b0400//b2521//b4016//b4129//b0461//b4705//b0972//b1735//b1663//b4087//b3597//b3311//
go_0018108_8	b4376//
go_0018117_8	b2014//
go_0018125_6	b4557//
go_0018131_6	b4353//
go_0018160_8	b0023//
go_0018206_8	b2163//
go_0018247_9	b1597//
go_0018283_6	b1774//b2425//
go_0018298_7	b0810//
go_0018307_7	b2335//
go_0018315_8	b0325//
go_0018339_9	b3170//b4054//
go_0018345_8	b3268//
go_0018364_6	b0003//b1409//
go_0018378_9	b1901//b1319//b1731//
go_0018393_10	b0967//b2014//
go_0018394_9	b3479//
go_0018410_8	b2758//
go_0018909_5	b0437//
go_0018937_4	b3209//
go_0019042_6	b0200//
go_0019068_6	b3175//b1536//
go_0019076_6	b1921//b4138//b1563//b3287//
go_0019217_7	b1497//
go_0019242_6	b1922//
go_0019243_7	b3516//b2436//b4268//b3629//b0410//b0949//b0584//b0738//b3317//b2715//b3911//b2005//b4252//b1878//b2594//b0192//b4172//b0752//b1216//b0104//b4097//b2028//b3413//b0093//
go_0019249_6	b1833//
go_0019250_7	b1998//
go_0019262_6	b3794//b1071//b3906//b1304//b1900//b3712//b1270//
go_0019264_7	b3932//
go_0019272_9	b2147//b3592//
go_0019284_7	b3196//b3231//b3657//
go_0019285_5	b3746//b2387//
go_0019288_6	b2109//b3895//b2217//b3205//
go_0019290_5	b0469//
go_0019292_8	b2257//
go_0019294_6	b3299//yeeL//b2754//b1955//
go_0019299_6	b0652//
go_0019301_7	b4382//b1384//b2312//b3787//b2532//b4300//b1866//
go_0019303_7	b2601//b3632//
go_0019305_7	b0024//
go_0019309_7	b2578//
go_0019316_8	b0741//b1256//b3603//
go_0019318_5	b3744//
go_0019323_6	b2265//b3800//b1535//mtnN//b4246//b1945//b1926//b1303//b2619//
go_0019324_6	b1960//b0733//b1264//b1375//b1006//
go_0019343_8	b4154//
go_0019344_7	b0789//b1507//b4090//
go_0019346_7	b0245//
go_0019353_8	b3018//b2283//b4261//b1741//
go_0019354_6	b2413//
go_0019379_5	b0353//
go_0019380_6	hprR//b3668//b1130//b0176//b3126//
go_0019388_7	b3459//
go_0019391_6	b3303//
go_0019394_7	b1281//
go_0019395_5	rhmR//b1525//
go_0019404_8	hprS//b4637//
go_0019413_6	b2069//b3680//
go_0019419_4	b3145//
go_0019427_7	b0369//
go_0019430_5	b0980//b1587//b2882//
go_0019432_7	b1896//
go_0019439_5	b0421//b1344//
go_0019447_8	b1429//
go_0019450_9	b0154//
go_0019464_7	b3134//b1623//b4315//b2934//
go_0019480_4	b1739//
go_0019509_7	b0401//
go_0019516_4	b0938//b1111//
go_0019521_6	b1882//b4477//
go_0019542_6	b2910//
go_0019545_6	b0608//
go_0019546_9	b3786//b0534//b0535//b0939//
go_0019563_7	b3056//b3213//b1829//b2366//
go_0019568_7	b2128//b2209//b3668//
go_0019569_7	b1852//b1828//b4084//
go_0019571_8	b1575//b4214//b0353//
go_0019572_8	b0681//
go_0019584_7	b4255//
go_0019588_7	b3902//b3583//
go_0019592_8	b3364//
go_0019595_8	b1093//
go_0019607_6	b2233//b3290//
go_0019622_6	b4682//b2265//b0410//
go_0019629_7	b0497//b3627//
go_0019632_5	b1801//b0830//b1129//b0539//
go_0019634_5	b1981//
go_0019645_6	b2800//b0081//b3144//b3571//b2174//b1300//b0878//b0978//
go_0019646_6	b1493//b3958//b1516//b1955//b3705//b4232//b4098//b3067//b1866//
go_0019664_6	b2912//b0064//
go_0019665_5	b1642//
go_0019673_6	b0880//
go_0019676_3	b3018//b2240//
go_0019677_8	b0080//
go_0019679_7	b3399//b2829//b0882//
go_0019686_6	b2290//
go_0019698_7	b3390//b1701//b4232//b0394//b1729//b3648//
go_0019700_6	b0867//b0034//b2093//b2111//b2519//b3751//hxpA//b0047//
go_0019740_2	b1829//b0141//b0121//b1780//b4393//b0998//b0693//
go_0019752_6	b3363//
go_0019805_6	b3935//
go_0019835_3	b0877//b1399//b3133//b2877//b0099//
go_0019852_5	b2763//b0999//b4058//
go_0019854_6	b1192//b0242//
go_0019856_7	b2919//b2729//
go_0019858_7	b4101//
go_0019859_7	b2100//
go_0019877_6	b2068//msrQ//b3738//
go_0019878_9	b3306//b1340//
go_0019935_6	b3708//b1183//
go_0019985_8	maoP//b2342//b1204//
go_0019988_7	b2135//
go_0022417_4	b2939//b2349//
go_0022610_2	b1002//b4337//b1652//
go_0022611_3	b3986//b3365//b3408//b3700//b0111//b3752//
go_0022900_4	b3305//b4172//b3021//
go_0022904_5	b1472//b0410//b1821//b4003//b2797//
go_0023014_4	b0043//b1326//b3162//b3743//b1736//b3753//b4362//b3627//b1271//b0635//b1664//b3268//b3131//b1212//b0998//b1821//b3061//b4005//b3265//b0516//b3707//b1487//b1753//b0688//b2162//b3422//b3029//b1250//b3576//b2483//b4637//b4289//b0644//
go_0030001_7	b0852//b1778//b1743//
go_0030007_8	b0330//
go_0030026_9	b1388//
go_0030091_6	b0575//b3785//b1422//b3952//b1136//b0842//b0756//b2727//b0153//b2354//
go_0030153_5	b2607//b1079//
go_0030162_7	b2215//b2954//
go_0030163_5	b0817//b0365//b0475//
go_0030244_9	b2552//
go_0030258_5	b0461//b0059//
go_0030260_7	b3367//
go_0030261_8	b1873//
go_0030307_6	b2436//
go_0030308_6	b0172//b0784//b2615//b2025//b0419//
go_0030388_5	b4265//b1298//b2285//
go_0030488_6	b3871//b0398//b0876//b0933//b1805//b2179//b3528//b0912//b1384//b0240//hxpB//b1362//b0881//
go_0030490_10	b2373//b1987//b3741//
go_0030497_7	b3592//glsA2//
go_0030541_4	b1676//b3601//
go_0030573_6	b3620//
go_0030632_8	b0240//b2265//b3166//b1126//
go_0030641_8	b0139//b2219//
go_0030643_8	b0891//
go_0030961_9	b4239//
go_0030980_7	b3241//b2995//b2042//
go_0031118_8	b3513//
go_0031119_8	b0400//b1885//b1132//b2595//b1633//b1826//
go_0031125_10	b0526//
go_0031162_5	b2376//b0731//
go_0031167_6	b1215//b0410//b2949//b3235//b2383//b0435//
go_0031280_6	b4415//
go_0031297_7	b1084//
go_0031342_5	b2761//
go_0031346_7	b2820//
go_0031365_7	b4261//
go_0031400_8	b0273//
go_0031439_9	b1002//
go_0031460_7	b3132//b1159//b1506//b3600//b3784//b2233//b0946//b3804//b1018//b4018//b3866//b2673//
go_0031554_7	b2690//
go_0031555_8	b2243//b4565//b3919//b1074//
go_0031556_9	b0138//bioP//
go_0031564_8	b2320//b4115//b1703//b2799//b3426//b1022//b3765//b1326//b3717//b1224//b4340//b2544//b4317//
go_0031638_7	b3693//
go_0031648_5	b4358//
go_0031669_5	b2456//b2314//b3321//
go_0031670_5	b4141//
go_0032025_6	b4152//b0431//
go_0032026_6	b0475//
go_0032049_8	b2901//b0876//b3753//
go_0032055_6	b1247//
go_0032091_6	b4075//
go_0032147_9	b2603//
go_0032150_8	b3592//
go_0032194_8	b4480//
go_0032196_3	b3476//b3905//b3983//b3118//b1863//b1506//
go_0032238_6	b1290//
go_0032259_3	b2539//b2992//b3519//b2777//b3438//b0329//b0194//
go_0032261_6	b1391//
go_0032263_7	b3628//b2066//
go_0032264_7	b1244//b4339//
go_0032265_7	b4166//
go_0032272_7	b0513//b4209//
go_0032297_10	b2418//b1347//b2182//
go_0032298_10	b3384//b1516//
go_0032324_6	b4326//b1191//b1432//
go_0032329_7	b0805//b0450//
go_0032359_7	b0651//b4524//b2521//
go_0032412_6	b0526//
go_0032413_6	b4074//
go_0032414_6	b3793//b2028//
go_0032445_10	b4324//b0999//b0766//b2907//b0315//
go_0032462_7	b3752//
go_0032466_7	b3386//
go_0032467_7	b0261//
go_0032506_4	b2733//
go_0032508_8	b0644//b3959//b1200//b1595//b2964//b4149//b1166//b2819//b1343//b2287//
go_0032774_6	b3826//
go_0032775_6	b0970//b4484//b3562//
go_0032781_7	b2060//b3576//b3192//
go_0032784_8	b2892//b1234//
go_0032790_6	b2725//b3129//
go_0032885_7	b1008//
go_0032951_8	b3237//
go_0032955_6	b2595//b2185//
go_0032973_7	b3564//
go_0032978_7	b1126//b3502//b4528//b1827//
go_0033014_6	b2386//b1441//
go_0033051_5	b2323//
go_0033120_8	b0476//
go_0033194_5	b0739//b0764//b2603//b4074//
go_0033195_5	b0718//
go_0033212_10	b2336//b1280//b3010//
go_0033214_11	b2748//b3934//
go_0033228_8	b4191//b3232//b0877//b3985//
go_0033317_7	b0557//b0226//b1714//b4299//
go_0033320_6	b3344//
go_0033345_8	b1257//
go_0033353_5	b1649//
go_0033359_7	b0598//b2456//
go_0033384_6	b3368//
go_0033388_7	b3410//
go_0033477_5	b3850//
go_0033499_8	b0835//b1841//b2958//b1410//b0222//b3170//b2779//
go_0033518_6	b4237//
go_0033539_7	b0783//b0439//b4003//
go_0033542_7	b1635//
go_0033543_8	b4379//
go_0033567_6	b3904//
go_0033585_7	b2929//b2412//
go_0033611_8	b0597//
go_0033683_7	b2717//
go_0034194_8	b1612//b0093//b4094//
go_0034195_8	b0742//
go_0034198_6	b1876//b4317//b0026//
go_0034203_6	b1831//
go_0034204_5	b1039//b1226//
go_0034213_6	b0071//
go_0034214_7	b2153//b4083//b1335//b1234//
go_0034219_6	b1835//b0262//b2546//b2820//b4075//b3804//b3173//b4464//b2029//b1580//b1853//b3743//b4479//b0433//b3296//b1534//b3733//b3558//b4043//b3082//b1439//b4419//b0659//b3794//b2954//b2121//b0059//b0850//b1235//b3605//b2925//b1711//b3048//b3670//b3493//b1174//b0112//b3925//b0722//b2897//b2159//b3281//b3706//b0778//b0143//b1066//b1429//b3244//b2912//b4528//b0088//b4159//b2842//b3779//b0506//b2784//b3806//
go_0034220_6	b0068//b2493//b2077//b0948//b1237//b4484//b3296//b2920//b3826//b3255//
go_0034224_6	b4088//b0113//
go_0034227_8	b1987//
go_0034258_8	b4166//
go_0034260_5	b4194//
go_0034289_7	b3137//
go_0034337_3	b1011//b3967//
go_0034355_7	b2427//b2100//b0096//b3140//
go_0034401_5	b2569//
go_0034414_9	b3507//
go_0034421_8	b0067//
go_0034470_8	b1166//
go_0034552_7	b3628//
go_0034599_5	b3009//b1139//b0688//b3647//b0939//b1194//b3546//b0597//b2163//b0578//b2922//
go_0034605_5	b1718//b1440//b1360//b3654//b1851//b0605//b2677//b2109//b0138//
go_0034614_6	b3308//b4154//
go_0034620_6	b0440//b4096//b2349//b3912//
go_0034628_9	b3825//b1069//b0507//b2268//b2689//
go_0034635_6	b4299//
go_0034644_7	b2041//b2235//
go_0034661_7	b0553//
go_0034775_7	b0717//b2831//b4173//b1069//b4362//
go_0034983_9	b2907//b0867//
go_0035235_6	b2945//b3684//b2530//b3673//
go_0035307_9	b3605//
go_0035335_8	b0805//b1552//b1300//
go_0035344_8	b4020//b0031//
go_0035350_6	b1224//
go_0035429_8	b2702//b2576//b1743//b2179//b2560//b3403//
go_0035433_7	b2731//
go_0035434_9	b3339//
go_0035435_9	b0910//b0064//b2523//b0069//b0576//b3662//b1714//b3194//b1724//
go_0035442_7	b0853//b0447//b0903//b3320//b1743//b1557//b0529//b1749//b2132//b1563//b1306//
go_0035443_7	b0928//b0570//b2619//
go_0035444_9	b0109//b2705//b2949//b2594//b0740//b0118//b1260//
go_0035461_6	b2302//b2480//
go_0035524_8	b2927//
go_0035552_6	b4337//
go_0035553_6	b2130//
go_0035556_4	b3229//
go_0035600_8	b3823//
go_0035672_6	b1663//b1123//b2496//b2064//
go_0035725_9	b3823//b2438//b4113//b2526//b1913//b2755//
go_0035784_9	b1117//
go_0035864_6	b3732//
go_0035873_8	b0261//b4014//
go_0035999_5	b2010//b3524//b1883//b0754//
go_0036001_7	b2729//
go_0036047_9	b0996//
go_0036049_9	b0802//
go_0036088_6	b3897//
go_0036104_6	b2110//b3846//
go_0036172_6	b0034//
go_0036214_3	b1733//
go_0036265_6	b3520//b0474//
go_0036289_9	b1023//b4100//
go_0036448_6	b2919//b1679//b3018//
go_0036460_5	b0590//b3264//b1939//b2257//b0790//b0782//
go_0036506_5	b1609//
go_0036525_7	b3028//
go_0038083_9	b0710//b1614//b3251//b0001//b0318//
go_0040033_9	b0783//
go_0042026_4	b4682//b3831//b3601//b3867//b0443//b1804//b2333//b1861//b4365//
go_0042126_5	b0023//b2579//
go_0042128_5	b0171//rpnA//
go_0042150_7	b1594//b0596//b0874//
go_0042157_5	b4513//
go_0042158_6	b4082//b2674//
go_0042177_7	b0990//b4111//b0019//
go_0042182_5	b3376//
go_0042219_6	b4251//
go_0042245_7	b0088//b3501//b2105//
go_0042254_5	b1006//b1180//b2382//b3577//b3426//b0842//b3475//
go_0042255_6	b2622//b2560//
go_0042274_5	b3691//b3556//b1539//b4362//
go_0042304_7	b0724//
go_0042351_7	b0215//
go_0042355_8	b3746//b2077//b2048//b0506//b3635//b3037//
go_0042371_7	b2149//
go_0042413_6	b3357//b3430//b1988//hxpB//
