# Filteres repeated instances with "cat /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum.txt | sort | uniq > /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt "
# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Mon May 14 11:43:53 2018 from /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_as_regulons.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
#From /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/scripts/tus_into_regulons.pl on Fri Feb  2 11:39:23 2018 using /Users/Daniela/Documents/CCG/GUs_analysis/gus_colombos/tus/tus_regDB.txt
C0067	C0067//
kdsC-lptCAB	b3198//b3199//b3200//b3201//
kduD	b2842//
kduI	b2843//
kefFC	b0046//b0047//
kefGB-yheV	b3351//b3350//b4551//
kgtP	b2587//
kilR-ydaE	b1352//b4526//
kptA	b4331//
kup	b3747//
lacI	b0345//
lacYA	b0343//b0342//
lacZYA	b0344//b0343//b0342//
lafU	lafU//
lapAB	b1279//b1280//
lapAB-pyrF-yciH	b1279//b1280//b1281//b1282//
ldcA	b1192//
ldcC	b0186//
ldhA	b1380//
ldrA	b4419//
ldrB	b4421//
ldrC	b4423//
ldrD	b4453//
ldtA	b1990//
ldtB	b0819//
ldtC	b1113//
ldtD	b0925//
ldtE	b1678//
lepAB	b2569//b2568//
leuE	b1798//
leuL	b0075//
leuLABCD	b0075//b0074//b0073//b0072//b0071//
leuO	b0076//
leuQPV	b4370//b4369//b4368//
leuS-lptE-holA-nadD-cobC	b0642//b0641//b0640//b0639//b0638//
leuU	b3174//
leuX	b4270//
lexA-dinF	b4043//b4044//
lfhA	lfhA//
lgoD	b4358//
lgoR	b4357//
lgoT	b4356//
lgt	b2828//
lgt-thyA	b2828//b2827//
lhr	b1653//
ligA-ypeB	b2411//b4546//
ligB	b3647//
lipA	b0628//
lipB	b0630//
lit	b1139//
livJ	b3460//
livKHMGF	b3458//b3457//b3456//b3455//b3454//
lldPRD	b3603//b3604//b3605//
loiP	b2936//
lolA-rarA	b0891//b0892//
lolB-ispE-prs	b1209//b1208//b1207//
lolCDE	b1116//b1117//b1118//
lomR_2-stfR-tfaR	b1371//b1372//b1373//
lon	b0439//
lpcA	b0222//
lpd	b0116//
lpoA	b3147//
lpp	b1677//
lptAB	b3200//b3201//
lptB-rpoN-hpf-ptsN-rapZ	b3201//b3202//b3203//b3204//b3205//
lptD	b0054//
lptD-surA-pdxA	b0054//b0053//b0052//
lptFG	b4261//b4262//
lpxC	b0096//
lpxD	b0179//
lpxL	b1054//
lpxM	b1855//
lpxP	b2378//
lrhA	b2289//
lrp	b0889//
lspA-fkpB-ispH	b0027//b0028//b0029//
lsrACDBFG-tam	b1513//b1514//b1515//b1516//b1517//b1518//b1519//
lsrK	b1511//
lsrRK	b1512//b1511//
ltaE-ybjT	b0870//b0869//
luxS	b2687//
lysA	b2838//
lysC	b4024//
lysO	b0874//
lysP	b2156//
lysQ	b0749//
lysR	b2839//
lysT-valT-lysW	b0743//b0744//b0745//
lysU	b4129//
lysZ	b0748//
maa	b0459//
macAB	b0878//b0879//
macB	b0879//
maeA	b1479//
maeB	b2463//
mak	b0394//
malEFG	b4034//b4033//b4032//
malI	b1620//
malK-lamB-malM	b4035//b4036//b4037//
malPQ	b3417//b3416//
malQ	b3416//
malS	b3571//
malT	b3418//
malXY	b1621//b1622//
malZ	b0403//
manA	b1613//
manXYZ	b1817//b1818//b1819//
maoP	maoP//
map-glnD-dapD	b0168//b0167//b0166//
marC	b1529//
marRAB	b1530//b1531//b1532//
matP	b0956//
mazEFG	b2783//b2782//b2781//
mcaS	b4426//
mcbA	b0806//
mcbR	b1450//
mcrA	b1159//
mcrBC	b4346//b4345//
mdaB	b3028//
mdfA	b0842//
mdh	b3236//
mdlAB	b0448//b0449//
mdtABCD-baeSR	b2074//b2075//b2076//b2077//b2078//b2079//
mdtEF	b3513//b3514//
mdtG	b1053//
mdtH	b1065//
mdtJI	b1600//b1599//
mdtK	b1663//
mdtL	b3710//
mdtM-yjiN	b4337//b4336//
mdtNOP	b4082//b4081//b4080//
mdtQ	b2138//
melAB	b4119//b4120//
melR	b4118//
menA-rraA	b3930//b3929//
menBCE	b2262//b2261//b2260//
menDHBCE	b2264//b2263//b2262//b2261//b2260//
menFDHBCE	b2265//b2264//b2263//b2262//b2261//b2260//
mepH	b1655//
mepM	b1856//
mepS	b2175//
metA	b4013//
metBL	b3939//b3940//
metC	b3008//
metE	b3829//
metF	b3941//
metG	b2114//
metH	b4019//
metJ	b3938//
metK	b2942//
metNIQ	b0199//b0198//b0197//
metR	b3828//
metT-leuW-glnUW-metU-glnVX	b0673//b0672//b0670//b0668//b0666//b0665//b0664//
metY	b3171//
metY-rimP-nusA-infB	b3171//b3170//b3169//b3168//
metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	b3171//b3170//b3169//b3168//b3167//b3166//b3165//b3164//
metZWV	b2814//b2815//b2816//
mfd	b1114//
mglAC	b2149//b2148//
mglBAC	b2150//b2149//b2148//
mgrB	b1826//
mgrR	b4698//
mgsA	b0963//
mgtLA	b4702//b4242//
mhpABCDFE	b0347//b0348//b0349//b0350//b0351//b0352//
mhpR-lacI	b0346//b0345//
mhpT	b0353//
miaA-hfq-hflXKC	b4171//b4172//b4173//b4174//b4175//
miaB	b0661//
micA	b4442//
micC	b4427//
micF	b4439//
micL	micL//
minCDE	b1176//b1175//b1174//
mioC	b3742//
mipA	b1782//
mlaA	b2346//
mlaFEDCB	b3195//b3194//b3193//b3192//b3191//
mlc	b1594//
mlc-ynfK	b1594//b1593//
mliC	b1639//
mlrA	b2127//
mltA	b2813//
mltB	b2701//
mltD	b0211//
mltF	b2558//
mmuPM	b0260//b0261//
mnaT-ydcZ	b1448//b1447//
mngAB	b0731//b0732//
mngR	b0730//
mnmA	b1133//
mnmC	b2324//
mnmE	b3706//
mnmG-rsmG	b3741//b3740//
mntH	b2392//
mntP	b1821//
mntR-ybiR	b0817//b0818//
moaABCDE	b0781//b0782//b0783//b0784//b0785//
moaBCDE	b0782//b0783//b0784//b0785//
mobAB	b3857//b3856//
mocA	b2877//
modABC	b0763//b0764//b0765//
modEF	b0761//b0760//
moeAB	b0827//b0826//
mog	b0009//
mokB	b1420//
mokC-hokC	b0018//b4412//
molR_1	molR_1//
molR_2	molR_2//
molR_3-yehI	molR_3//b2118//
motAB-cheAW	b1890//b1889//b1888//b1887//
mpaA	b1326//
mpl	b4233//
mppA	b1329//
mprA-emrAB	b2684//b2685//b2686//
mqo	b2210//
mqsRA	b3022//b3021//
mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0081//b0082//b0083//b0084//b0085//b0086//b0087//b0088//b0089//b0090//b0091//b0092//b0093//b0094//b0095//b0096//
mrcA	b3396//
mrcB	b0149//
mreB	b3251//
mreBCD	b3251//b3250//b3249//
mreCD	b3250//b3249//
mrp	b2113//
mrr	b4351//
mscK	b0465//
mscL	b3291//
mscS	b2924//
msrA	b4219//
msrB	b1778//
msrC	b1832//
msrPQ	msrP//msrQ//
msyB	b1051//
mtfA	b1976//
mtlADR	b3599//b3600//b3601//
mtn-btuF-yadS	b0159//b0158//b0157//
mtr	b3161//
mug	b3068//
murA	b3189//
murB-birA	b3972//b3973//
murJ	b1069//
murQP	b2428//b2429//
murQP-yfeW	b2428//b2429//b2430//
murR	b2427//
mutH	b2831//
mutL-miaA-hfq-hflXKC	b4170//b4171//b4172//b4173//b4174//b4175//
mutM	b3635//
mutS	b2733//
mutY-yggX	b2961//b2962//
mutY-yggX-mltC	b2961//b2962//b2963//
mutY-yggX-mltC-nupG	b2961//b2962//b2963//b2964//
nac	b1988//
nadA-pnuC	b0750//b0751//
nadB	b2574//
nadC	b0109//
nadE	b1740//
nadK	b2615//
nagA	b0677//
nagBAC-umpH	b0678//b0677//b0676//b0675//
nagC	b0676//
nagE	b0679//
nagK-cobB	b1119//b1120//
nanA	b3225//
nanATEK-yhcH	b3225//b3224//b3223//b3222//b3221//
nanC	b4311//
nanCM	b4311//b4310//
nanCMS	b4311//b4310//b4309//
nanR	b3226//
nanS	b4309//
napFDAGHBC	b2208//b2207//b2206//b2205//b2204//b2203//b2202//
napFDAGHBC-ccmABCDEFGH	b2208//b2207//b2206//b2205//b2204//b2203//b2202//b2201//b2200//b2199//b2198//b2197//b2196//b2195//b2194//
narGHJI	b1224//b1225//b1226//b1227//
narK	b1223//
narP	b2193//
narQ	b2469//
narU	b1469//
narWV	b1466//b1465//
narXL	b1222//b1221//
narZYWV	b1468//b1467//b1466//b1465//
ndh	b1109//
ndk	b2518//
nemA	b1650//
nemR	b1649//
nemRA	b1649//b1650//
nemRA-gloA	b1649//b1650//b1651//
nepI	b3662//
nfo	b2159//
nfrBA	b0569//b0568//
nfsB	b0578//
nfuA	b3414//
nhaAR	b0019//b0020//
nhaB	b1186//
nhaR	b0020//
nhoA	b1463//
nikABCDER	b3476//b3477//b3478//b3479//b3480//b3481//
nikR	b3481//
nimR	b1790//
nimT	b1791//
nirBDC-cysG	b3365//b3366//b3367//b3368//
nlpA	b3661//
nlpC	b1708//
nlpD-rpoS	b2742//b2741//
nlpI	b3163//
nmpC	b0553//
nohA-ydfN-tfaQ	b1548//b1547//b1546//
nohB	b0560//
norR	b2709//
norVW	b2710//b2711//
nrdAB-yfaE	b2234//b2235//b2236//
nrdDG	b4238//b4237//
nrdG	b4237//
nrdHIEF	b2673//b2674//b2675//b2676//
nrdR-ribDE-nusB-thiL-pgpA	b0413//b0414//b0415//b0416//b0417//b0418//
nrfABCDEFG	b4070//b4071//b4072//b4073//b4074//b4075//b4076//
nsrR-rnr-rlmB-yjfI	b4178//b4179//b4180//b4181//
nudB-yebC-ruvC	b1865//b1864//b1863//
nudC-hemE-nfi	b3996//b3997//b3998//
nudE	b3397//
nudF-yqiB-cpdA-yqiA-parE	b3034//b3033//b3032//b3031//b3030//
nudG	b1759//
nudI	b2251//
nudK	b2467//
nuoABCEFGHIJKLMN	b2288//b2287//b2286//b2285//b2284//b2283//b2282//b2281//b2280//b2279//b2278//b2277//b2276//
nuoMN	b2277//b2276//
nupC	b2393//
nupG	b2964//
nupX	b2161//
ogrK	b2082//
ogt	b1335//
ohsC	b4608//
ompA	b0957//
ompC	b2215//
ompF	b0929//
ompG	b1319//
ompL	b3875//
ompN	b1377//
ompR-envZ	b3405//b3404//
ompT	b0565//
ompW	b1256//
ompX	b0814//
omrA	b4444//
omrB	b4445//
opgB	b4359//
opgC	b1047//
opgD	b1424//
opgE	b0815//
opgGH	b1048//b1049//
oppABCDF	b1243//b1244//b1245//b1246//b1247//
orn	b4162//
ortT	b1445//
osmB	b1283//
osmC	b1482//
osmE	b1739//
osmF-yehYXW	b2131//b2130//b2129//b2128//
osmY	b4376//
otsA	b1896//
otsBA	b1897//b1896//
oxc	b2373//
oxyR	b3961//
oxyS	b4458//
paaABCDEFGHIJK	b1388//b1389//b1390//b1391//b1392//b1393//b1394//b1395//b1396//b1397//b1398//
paaXY	b1399//b1400//
paaZ	b1387//
pabA	b3360//
pabB-nudL	b1812//b1813//
pabC-mltG-tmk-holB-ycfH	b1096//mltG//b1098//b1099//b1100//
pagP	b0622//
panBC	b0134//b0133//
panD	b0131//
panE-yajL	b0425//b0424//
panZ	b3459//
paoABCD	b0286//b0285//b0284//b0283//
parC	b3019//
patA	b3073//
patD	b1444//
patZ	b2584//
pbl	pbl//
pbpG	b2134//
pck	b3403//
pcnB-folK	b0143//b0142//
pdeA	b2395//
pdeB	b0457//
pdeC	b4061//
pdeD	b1815//
pdeF	b2503//
pdeG	b1168//
pdeH	b3525//
pdeI-dgcI	b0833//b0834//
pdeK	b3529//
pdeL	b0315//
pdeN	b2176//
pdeR	b1285//
pdhR-aceEF-lpd	b0113//b0114//b0115//b0116//
pdxA-rsmA	b0052//b0051//
pdxA-rsmA-apaGH	b0052//b0051//b0050//b0049//
pdxB-usg-truA-dedA	b2320//b2319//b2318//b2317//
pdxH-tyrS-pdxY	b1638//b1637//b1636//
pdxJ-acpS	b2564//b2563//
pdxK	b2418//
pdxY	b1636//
pepA	b4260//
pepB	b2523//
pepD	b0237//
pepE	b4021//
pepN	b0932//
pepQ-yigZ-trkH-hemG	b3847//b3848//b3849//b3850//
pepT	b1127//
perR	b0254//
pfkA	b3916//
pfkB	b1723//
pflA	b0902//
pflB	b0903//
pflDC	b3951//b3952//
pgaABCD	b1024//b1023//b1022//b1021//
pgi	b4025//
pgk	b2926//
pgk-fbaA	b2926//b2925//
pgl	b0767//
pgpB	b1278//
pgpC-tadA	b2560//b2559//
pgrR	b1328//
pgsA	b1912//
pheLA	b2598//b2599//
pheM	b1715//
pheMST-ihfA	b1715//b1714//b1713//b1712//
pheP	b0576//
pheU	b4134//
pheV	b2967//
phnCDE_1E_2FGHIJKLMNOP	b4106//b4105//b4104//phnE_2//b4102//b4101//b4100//b4099//b4098//b4097//b4096//b4095//b4094//b4093//b4092//
phnLMNOP	b4096//b4095//b4094//b4093//b4092//
phoA-psiF	b0383//b0384//
phoBR	b0399//b0400//
phoE	b0241//
phoH	b1020//
phoPQ	b1130//b1129//
phoQ	b1129//
phoU	b3724//
phr	b0708//
pinE	b1158//
pinH	pinH//
pinQ	b1545//
pinR	b1374//
pitA	b3493//
pitB	b2987//
plaP	b2014//
pldA	b3821//
pldB-yigL	b3825//b3826//
pliG	b1178//
plsB	b4041//
plsC	b3018//
plsX-fabHDG	b1090//b1091//b1092//b1093//
pmbA	b4235//
pmrD	b2259//
pncB	b0931//
pncC	b2700//
pnp	b3164//
pntAB	b1603//b1602//
polA	b3863//
polB	b0060//
potABCD	b1126//b1125//b1124//b1123//
potFGHI	b0854//b0855//b0856//b0857//
poxB	b0871//
poxB-ltaE-ybjT	b0871//b0870//b0869//
ppa	b4226//
ppc	b3956//
ppdAB-ygdB-ppdC-recC	b2826//b2825//b2824//b2823//b2822//
ppdD-hofBC	b0108//b0107//b0106//
pphA	b1838//
pphB	b2734//
ppiA	b3363//
ppiB-lpxH	b0525//b0524//
ppiC	b3775//
ppiD	b0441//
ppk-ppx	b2501//b2502//
pppA	b2972//
ppsA	b1702//
ppsR	b1703//
pptA	b1461//
pqiAB	b0950//b0951//
pqqL	b1494//
preTA	b2146//b2147//
prfB-lysS	b2891//b2890//
prfC	b4375//
priA	b3935//
priC-ybaM	b0467//b0466//
prkB	b3355//
prlC-rsmJ	b3498//b3497//
prlF-yhaV	b3129//b3130//
prmB-aroC-mepA-yfcA-epmC-yfcL	b2330//b2329//b2328//b2327//b2326//b2325//
proBA	b0242//b0243//
proC	b0386//
proK	b3545//
proL	b2189//
proP	b4111//
proQ-prc	b1831//b1830//
proS	b0194//
proVWX	b2677//b2678//b2679//
prpBCDE	b0331//b0333//b0334//b0335//
prpR	b0330//
prs	b1207//
psd-mscM	b4160//b4159//
psiE	b4030//
pspABCDE	b1304//b1305//b1306//b1307//b1308//
pspBCDE	b1305//b1306//b1307//b1308//
pspE	b1308//
pspF	b1303//
pspG	b4050//
pssA	b2585//
pstB-phoU	b3725//b3724//
pstCAB-phoU	b3727//b3726//b3725//b3724//
pstS	b3728//
pstSCA	b3728//b3727//b3726//
pstSCAB-phoU	b3728//b3727//b3726//b3725//b3724//
psuKG	b2166//b2165//
psuT	b2164//
pta	b2297//
pth-ychF	b1204//b1203//
ptrA	b2821//
ptrA-recBD	b2821//b2820//b2819//
ptrB	b1845//
ptsA-fsaB-gldA	b3947//b3946//b3945//
ptsG	b1101//
ptsHI-crr	b2415//b2416//b2417//
purA	b4177//
purC	b2476//
purEK	b0523//b0522//
purHD	b4006//b4005//
purL	b2557//
purMN	b2499//b2500//
purR	b1658//
purT	b1849//
purU	b1232//
putA	b1014//
putP	b1015//
puuAP	b1297//b1296//
puuCBE	b1300//b1301//b1302//
puuDRCBE	b1298//b1299//b1300//b1301//b1302//
puuP	b1296//
pykA	b1854//
pykF	b1676//
pyrC	b1062//
pyrD	b0945//
pyrF-yciH	b1281//b1282//
pyrG-eno	b2780//b2779//
pyrH	b0171//
pyrLBI	b4246//b4245//b4244//
qmcA-ybbJ	b0489//b0488//
qor	b4051//
qorB	qorB//
qseBC	b3025//b3026//
qseG	qseG//
queA	b0405//
queC	b0444//
queD	b2765//
queE	b2777//
queF	b2794//
queG	b4166//
racC	b1351//
racR	b1356//
radA-nadR	b4389//b4390//
radD	b2184//
raiA	b2597//
ralA	b4714//
rapA	b0059//
rapA-rluA	b0059//b0058//
rarD	b3819//
ratAB	b2619//b2618//
ravA-viaA	b3746//b3745//
rayT	b0228//
rbn	b2268//
rbsDACBKR	b3748//b3749//b3750//b3751//b3752//b3753//
rcdA	b0846//
rclABC	b0304//b0303//b0301//
rclBC	b0303//b0301//
rclR	b0305//
rcnAB	b2106//b2107//
rcnB	b2107//
rcnR	b2105//
rcsA	b1951//
rcsB	b2217//
rcsC	b2218//
rcsDB	b2216//b2217//
rcsF-trmO	b0196//b0195//
rdgB-yggW	b2954//b2955//
rdgC	b0393//
rdlA	b4420//
rdlB	b4422//
rdlC	b4424//
rdlD	b4454//
rdoA-dsbA	b3859//b3860//
recA	b2699//
recAX	b2699//b2698//
recC	b2822//
recET-ralR-ydaC-xisR-intR	b1350//b1349//b1348//b1347//xisR//b1345//
recF	b3700//
recG	b3652//
recN	b2616//
recQ	b3822//
relA	b2784//
relA-mazEF	b2784//b2783//b2782//
relBE	b1564//b1563//
relBE-hokD	b1564//b1563//b1562//
rem	b1561//
renD-emrE	b0542//b0543//
rep	b3778//
rfaD-waaFCL	b3619//b3620//b3621//b3622//
rfaE	b3052//
rfaH	b3842//
rfbACX	b2039//b2038//b2037//
rfbBDACX	b2041//b2040//b2039//b2038//b2037//
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-rffT-wzyE-rffM	b3784//b3785//b3786//b3787//b3788//b3789//b3790//b3791//b3792//b4481//b3793//b3794//
rhaBAD	b3904//b3903//b3902//
rhaD	b3902//
rhaM	b3901//
rhaSR	b3905//b3906//
rhaT	b3907//
rhlB	b3780//
rhlE	b0797//
rhoL	b3782//
rhoL-rho	b3782//b3783//
rhsA-yibA	b3593//b3594//
rhsB	b3482//
rhsC-ybfB	b0700//b0702//
rhsD-ybbC-ylbH-ybbD	b0497//b0498//b0499//b0500//
rhsE-ydcD	rhsE//b1457//
rhtA	b0813//
rhtB	b3824//
rhtC	b3823//
ribA	b1277//
ribC	b1662//
ribE-nusB-thiL-pgpA	b0415//b0416//b0417//b0418//
ribF-ileS-lspA-fkpB-ispH	b0025//b0026//b0027//b0028//b0029//
ridA	b4243//
rihA	b0651//
rihB	b2162//
rihC	b0030//
rimJ	b1066//
rimK-ybjN	b0852//b0853//
rimL	b1427//
rimO	b0835//
rimP-nusA-infB	b3170//b3169//b3168//
rirA-waaQGPSBOJYZU	rirA//b3632//b3631//b3630//b3629//b3628//b3627//b3626//b3625//b3624//b3623//
rlmA	b1822//
rlmD	b2785//
rlmE-ftsH	b3179//b3178//
rlmF	b0807//
rlmG	b3084//
rlmI	b0967//
rlmJ	b3499//
rlmL-uup	b0948//b0949//
rlmM	b2806//
rlmN	b2517//
rluB	b1269//
rluC	b1086//
rluD-yfiH	b2594//b2593//
rluE-nudJ	b1135//b1134//
rluF	b4022//
rmf	b0953//
rmuC	b3832//
rna	b0611//
rnb	b1286//
rnc-era	b2567//b2566//
rnc-era-recO-pdxJ-acpS	b2567//b2566//b2565//b2564//b2563//
rnd	b1804//
rne	b1084//
rnhA	b0214//
rnk	b0610//
rnlA	b2630//
rnlAB	b2630//b2631//
rnlB	b2631//
rnpB	b3123//
rnt-lhr	b1652//b1653//
rob	b4396//
rodZ	b2516//
roxA	b1128//
rpe-gph-trpS	b3386//b3385//b3384//
rph	b3643//
rph-pyrE	b3643//b3642//
rpiA	b2914//
rpiB	b4090//
rpiR-alsBACE	b4089//b4088//b4087//b4086//b4085//
rplJL-rpoBC	b3985//b3986//b3987//b3988//
rplKAJL-rpoBC	b3983//b3984//b3985//b3986//b3987//b3988//
rplL	b3986//
rplM-rpsI	b3231//b3230//
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ	b3310//b3309//b3308//b3307//b3306//b3305//b3304//b3303//b3302//b3301//b3300//b3299//
rplT	b1716//
rplT-pheM	b1716//b1715//
rplU-rpmA	b3186//b3185//
rplU-rpmA-yhbE-obgE	b3186//b3185//b3184//b3183//
rplY	b2185//
rpmBG	b3637//b3636//
rpmBG-mutM	b3637//b3636//b3635//
rpmE	b3936//
rpmF-plsX-fabHDG	b1089//b1090//b1091//b1092//b1093//
rpmH-rnpA	b3703//b3704//
rpmI-rplT	b1717//b1716//
rpoBC	b3987//b3988//
rpoD	b3067//
rpoE-rseABC	b2573//b2572//b2571//b2570//
rpoH	b3461//
rpoN-hpf-ptsN-rapZ-npr	b3202//b3203//b3204//b3205//b3206//
rpoS	b2741//
rpoZ-spoT-trmH-recG	b3649//b3650//b3651//b3652//
rppH-ptsP	b2830//b2829//
rprA	b4431//
rpsA-ihfB	b0911//b0912//
rpsF-priB-rpsR-rplI	b4200//b4201//b4202//b4203//
rpsI	b3230//
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	b3321//b3320//b3319//b3318//b3317//b3316//b3315//b3314//b3313//b3312//b3311//
rpsLG-fusA-tufA	b3342//b3341//b3340//b3339//
rpsMKD-rpoA-rplQ	b3298//b3297//b3296//b3295//b3294//
rpsO	b3165//
rpsO-pnp	b3165//b3164//
rpsP-rimM-trmD-rplS	b2609//b2608//b2607//b2606//
rpsT	b0023//
rpsU	b3065//
rpsU-dnaG-rpoD	b3065//b3066//b3067//
rraA	b3929//
rraB	b4255//
rrfG	b2588//
rrlA-rrfA	b3854//b3855//
rrlB-rrfB	b3970//b3971//
rrlE-rrfE	b4009//b4010//
rrlH-rrfH	b0204//b0205//
rrsA-ileT-alaT-rrlA-rrfA	b3851//b3852//b3853//b3854//b3855//
rrsB-gltT-rrlB-rrfB	b3968//b3969//b3970//b3971//
rrsC-gltU-rrlC-rrfC	b3756//b3757//b3758//b3759//
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	b3278//b3277//b3276//b3275//b3274//b3273//b3272//
rrsE-gltV-rrlE-rrfE	b4007//b4008//b4009//b4010//
rrsG-gltW-rrlG-rrfG	b2591//b2590//b2589//b2588//
rrsH-ileV-alaV-rrlH-rrfH	b0201//b0202//b0203//b0204//b0205//
rsd	b3995//
rseABC	b2572//b2571//b2570//
rseP	b0176//
rseX	b4603//
rsfS-rlmH-mrdAB-rlpA	b0637//b0636//b0635//b0634//b0633//
rsgA	b4161//
rsmA-apaGH	b0051//b0050//b0049//
rsmB	b3289//
rsmC	b4371//
rsmD-yhhL	b3465//b3466//
rsmE-gshB	b2946//b2947//
rsmF	b1835//
rsmG	b3740//
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b0082//b0083//b0084//b0085//b0086//b0087//b0088//b0089//b0090//b0091//b0092//b0093//b0094//b0095//b0096//
rsmI	b3146//
rspAB	b1581//b1580//
rssAB	b1234//b1235//
rssB	b1235//
rstAB	b1608//b1609//
rsuA	b2183//
rsxABCDGE-nth	b1627//b1628//b1629//b1630//b1631//b1632//b1633//
rtcBA	b3421//b4475//
rtcR	b3422//
rttR	b4425//
rutABCDEFG	b1012//b1011//b1010//b1009//b1008//b1007//b1006//
rutR	b1013//
ruvAB	b1861//b1860//
ruvC	b1863//
rybA-mntS	b4416//b4705//
rybB	b4417//
rydB	b4430//
rydC	b4597//
ryeA	b4432//
ryfA	b4440//
ryfD	b4609//
ryhB	b4451//
ryjA	b4459//
ryjB	b4624//
rzoD	b4510//
rzoR	b4528//
sad	b1525//
safA-ydeO	b1500//b1499//
sanA-yeiS	b2144//b2145//
sapABCDF	b1294//b1293//b1292//b1291//b1290//
satP	b0010//
sbcB	b2011//
sbcDC	b0398//b0397//
sbmA-yaiW	b0377//b0378//
sbmC	b2009//
sbp	b3917//
scpA-argK-scpBC	b2917//b2918//b2919//b2920//
sdaA	b1814//
sdaCB	b2796//b2797//
sdhCDAB-sucABCD	b0721//b0722//b0723//b0724//b0726//b0727//b0728//b0729//
sdhDAB	b0722//b0723//b0724//
sdhE-cptA	b2897//b2896//
sdiA	b1916//
sdsN	sdsN//
sdsR	b4433//
secB-gpsA	b3609//b3608//
secE-nusG	b3981//b3982//
secG	b3175//
secG-leuU	b3175//b3174//
secMA-mutT	b0097//b0098//b0099//
selAB	b3591//b3590//
selC	b3658//
selD-topB	b1764//b1763//
selU	selU//
seqA-pgm	b0687//b0688//
serA	b2913//
serB	b4388//
serB-radA	b4388//b4389//
serC	b0907//
serC-aroA	b0907//b0908//
serS	b0893//
serT	b0971//
serU	b1975//
serV-argVYZQ	b2695//b2694//b2693//b2692//b2691//
serW	b0883//
serX	b1032//
setB	b2170//
setC	b3659//
sfmA	b0530//
sfmCD	b0531//b0532//
sfmHF	b0533//b0534//
sfsA-dksA	b0146//b0145//
sfsB	b3188//
sgcXBCQAER	b4305//b4565//b4304//b4303//b4302//b4301//b4300//
sgrR-sroA-tbpA-thiPQ	b0069//sroA//b0068//b0067//b0066//
sgrST-setA	b4577//b4662//b0070//
shiA	b1981//
shoB	b4687//
sibA	b4436//
sibB	b4437//
sibC	b4446//
sibD	b4447//
sibE	b4611//
sieB	b1353//
sixA	b2340//
skp-lpxD-fabZ-lpxA	b0178//b0179//b0180//b0181//
slp-dctR	b3506//b3507//
slt	b4392//
slyA	b1642//
slyB	b1641//
slyD	b3349//
slyX	b3348//
smf	b4473//
smg	b3284//
smpB	b2620//
smrA	b1340//
smrB	b2331//
sodA	b3908//
sodB	b1656//
sodC	b1646//
sohB	b1272//
sokB	b4429//
sokC	b4413//
solA-yceO	b1059//b1058//
soxR	b4063//
soxS	b4062//
speAB	b2938//b2937//
speB	b2937//
speC	b2965//
speF-potE	b0693//b0692//
spf	b3864//
sppA	b1766//
spy	b1743//
sra	b1480//
sraA	sraA//
sraB	b4418//
sraG	b4449//
srlAEBD-gutM-srlR-gutQ	b2702//b2703//b2704//b2705//b2706//b2707//b2708//
srlR	b2707//
srmB	b2576//
sroA	sroA//
sroG-ribB	sroG//b3041//
sroH	b4691//
ssb	b4059//
sseA	b2521//
sseB	b2522//
ssnA	b2879//
sspAB	b3229//b3228//
ssrA	b2621//
ssrS	b2911//
ssrS-fau	b2911//b2912//
sstT	b3089//
ssuEADCB	b0937//b0936//b0935//b0934//b0933//
stfE-tfaE	b1157//b1156//
sthA	b3962//
stpA	b2669//
sucAB	b0726//b0727//
sucABCD	b0726//b0727//b0728//b0729//
sufABCDSE	b1684//b1683//b1682//b1681//b1680//b1679//
sugE	b4148//
suhB	b2533//
sulA	b0958//
surA-pdxA-rsmA-apaGH	b0053//b0052//b0051//b0050//b0049//
sutR	b1434//
sxy	b0959//
syd	b2793//
symE	b4347//
symR	b4625//
tabA	b4252//
tag-yiaC	b3549//b3550//
talA	b2464//
talA-tktB	b2464//b2465//
talB	b0008//
tam	b1519//
tamAB-ytfP	b4220//b4221//b4222//
tar-tap-cheRBYZ	b1886//b1885//b1884//b1883//b1882//b1881//
tas	b2834//
tatABC	b3836//b3838//b3839//
tatABCD	b3836//b3838//b3839//b4483//
tatD	b4483//
tatE	b0627//
tauABCD	b0365//b0366//b0367//b0368//
tcdA	b2812//
tcyJ	b1920//
tcyP	b1729//
tdcABCDEFG	b3118//b3117//b3116//b3115//b3114//b3113//b4471//
